name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
AT-PAD_00024,"Rudolf, Anschober",M,nan,"['member', 'minister']",['Die Grünen – Die Grüne Alternative'],['Centre-left to left'],['Lower house']
AT-PAD_00027,"Dieter, Antoni",M,1990-11-05,['member'],[],[],['Lower house']
AT-PAD_00030,"Ute, Apfelbeck",F,1988-11-23,['member'],[],[],['Lower house']
AT-PAD_00039,"Jakob, Auer",M,nan,['member'],['Österreichische Volkspartei'],['Centre-right to right'],['Lower house']
AT-PAD_00041,"Anna Elisabeth Anna Elisabeth, Aumayr Achatz",F,1990-11-05,['member'],[],[],['Lower house']
AT-PAD_00059,"Thomas, Barmüller",M,1990-11-05,['member'],[],[],['Lower house']
AT-PAD_00060,"Martin, Bartenstein",M,nan,"['member', 'minister', 'ministerDelegate', 'secretaryOfState']",['Österreichische Volkspartei'],['Centre-right to right'],['Lower house']
AT-PAD_00074,"Holger, Bauer",M,1980-06-19,"['member', 'secretaryOfState']",[],[],['Lower house']
AT-PAD_00075,"Gertrude, Brinek",F,nan,['member'],['Österreichische Volkspartei'],['Centre-right to right'],['Lower house']
AT-PAD_00076,"Johann Hannes, Bauer Bauer",M,nan,"['member', 'secretaryOfState']",['Sozialdemokratische Partei Österreichs'],['Centre-left'],['Lower house']
AT-PAD_00080,"Rosemarie, Bauer",F,nan,['member'],['Österreichische Volkspartei'],['Centre-right to right'],"['Upper house', 'Lower house']"
AT-PAD_00081,"Sophie, Bauer",F,nan,['member'],['Sozialdemokratische Partei Österreichs'],['Centre-left'],['Lower house']
AT-PAD_00087,"Gerhart, Bruckmann",M,1986-12-17,['member'],[],[],['Lower house']
AT-PAD_00118,"Gabriele Gabriele, Binder Binder-Maier",F,nan,['member'],['Sozialdemokratische Partei Österreichs'],['Centre-left'],['Lower house']
AT-PAD_00125,"Hermann, Böhacker",M,1990-11-05,['member'],[],[],['Lower house']
AT-PAD_00136,"Anton, Blünegger",M,1990-03-15,['member'],[],[],['Lower house']
AT-PAD_00139,"Hannelore, Buder",F,1990-11-05,['member'],[],[],['Lower house']
AT-PAD_00145,"Doris, Bures",F,nan,"['deputyHead', 'head', 'member', 'minister']",['Sozialdemokratische Partei Österreichs'],['Centre-left'],['Lower house']
