name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
BA-ČamparaAvdo,"Avdo, Čampara",M,1998-11-26,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-DžaferovićŠefik,"Šefik, Džaferović",M,1998-11-26,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-HercegMugdin,"Mugdin, Herceg",M,1998-11-26,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-ŠarčevićIsmet,"Ismet, Šarčević",M,1998-11-26,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-MadunićIvan,"Ivan, Madunić",M,1998-11-26,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-MarićZoran,"Zoran, Marić",M,1998-11-26,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-LjubičićDrago,"Drago, Ljubičić",M,1998-11-26,['member'],"['Srpski narodni savez', 'Savez nezavisnih socijaldemokrata']","['Centre-right', 'Syncretic politics']",['Unicameralism']
BA-MalićMomir,"Momir, Malić",M,1998-11-26,['member'],['Socijalistička partija'],['Centre-left'],['Unicameralism']
BA-PajićĐoko,"Đoko, Pajić",M,1998-11-26,['member'],"['Srpska demokratska stranka', 'Srpska radikalna stranka Republike Srpske']","['Centre-right to right', 'Right']",['Unicameralism']
BA-RistanRistić,"Ristić, Ristan",M,1998-11-26,['member'],['Savez nezavisnih socijaldemokrata'],['Syncretic politics'],['Unicameralism']
BA-ŽigićIzet,"Izet, Žigić",M,1998-11-26,['member'],['Stranka za Bosnu i Hercegovinu'],['Centre'],['Unicameralism']
BA-ŠoljićVladimir,"Vladimir, Šoljić",M,1998-11-26,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-ZorićVinko,"Vinko, Zorić",M,1998-11-26,['member'],"['Hrvatska demokratska zajednica 1991', 'Hrvatska demokratska zajednica Bosne i Hercegovine']","['Centre-right', 'Centre-right']",['Unicameralism']
BA-ŽivkovićIvo,"Ivo, Živković",M,1998-11-26,['member'],"['Hrvatska demokratska zajednica Bosne i Hercegovine', 'Nova hrvatska inicijativa']","['Centre-right', 'Left']",['Unicameralism']
BA-TošićMomir,"Momir, Tošić",M,1998-11-26,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-GenjacHalid,"Halid, Genjac",M,1998-11-26,['member'],"['Koalicija za cjelovitu i demokratsku BiH', 'Stranka demokratske akcije']","[nan, 'Centre-right to right']",['Unicameralism']
BA-JusufovićMunib,"Munib, Jusufović",M,2000-12-29,['member'],"['Savez za bolju budućnost', 'Stranka za Bosnu i Hercegovinu']","['Centre-right', 'Centre']",['Unicameralism']
BA-SpahićIbrahim,"Ibrahim, Spahić",M,1998-11-26,['member'],"['Građanska demokratska stranka', 'Koalicija za cjelovitu i demokratsku BiH']","[nan, nan]",['Unicameralism']
BA-DivkovićIvo,"Ivo, Divković",M,1998-11-26,['member'],"['Socijaldemokratska partija Bosne i Hercegovine', 'Socijaldemokrati BiH']","['Centre-left', 'Centre-left']",['Unicameralism']
BA-IvankovićJerko,"Jerko, Ivanković",M,2000-12-29,['member'],['Narodna stranka Radom za boljitak'],['Centre'],['Unicameralism']
BA-SušacNiko,"Niko, Sušac",M,2000-12-29,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-IlićDragutin,"Dragutin, Ilić",M,2000-12-29,['member'],['Socijalistička partija'],['Centre-left'],['Unicameralism']
BA-NovakovićMomčilo,"Momčilo, Novaković",M,2000-12-29,['member'],"['Koalicija Partija demokratskog progresa - Narodni demokratski pokret', 'Srpska demokratska stranka']","['Centre-right', 'Centre-right to right']",['Unicameralism']
BA-RodićDragutin,"Dragutin, Rodić",M,2000-12-29,['member'],['Demokratski narodni savez'],['Centre-right'],['Unicameralism']
BA-TokićSejfudin,"Sejfudin, Tokić",M,1998-11-26,['member'],"['Socijaldemokratska partija Bosne i Hercegovine', 'Socijaldemokrati BiH']","['Centre-left', 'Centre-left']",['Unicameralism']
BA-ŠimićIlija,"Ilija, Šimić",M,2000-12-29,['member'],['Hrvatska seljačka stranka'],['Centre'],['Unicameralism']
BA-ŠpirićNikola,"Nikola, Špirić",M,1998-11-26,"['member', 'minister']","['Partija demokratskog progresa', 'Srpska demokratska stranka', 'Savez nezavisnih socijaldemokrata']","['Centre to centre-right', 'Centre-right to right', 'Syncretic politics']",['Unicameralism']
BA-TučjačaninGoran,"Goran, Tučjačanin",M,2000-12-29,['member'],['Savez nezavisnih socijaldemokrata'],['Syncretic politics'],['Unicameralism']
BA-NeimarlijaHilmo,"Hilmo, Neimarlija",M,1998-11-26,['member'],"['Koalicija za cjelovitu i demokratsku BiH', 'Stranka za Bosnu i Hercegovinu', 'Stranka demokratske akcije']","[nan, 'Centre', 'Centre-right to right']",['Unicameralism']
BA-BrkaOsman,"Osman, Brka",M,2000-12-29,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-ČengićHasan,"Hasan, Čengić",M,2002-12-03,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-PamukMustafa,"Mustafa, Pamuk",M,1998-11-26,['member'],"['Koalicija za cjelovitu i demokratsku BiH', 'Stranka za Bosnu i Hercegovinu']","[nan, 'Centre']",['Unicameralism']
BA-JukićVelimir,"Velimir, Jukić",M,2002-12-03,['member'],"['Koalicija HDZ-HK-HNZ', 'Hrvatska demokratska zajednica Bosne i Hercegovine']","['Centre-right', 'Centre-right']",['Unicameralism']
BA-FilipovićIlija,"Ilija, Filipović",M,2002-12-03,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-LimovTomislav,"Tomislav, Limov",M,2002-12-03,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-MilojevićGoran,"Goran, Milojević",M,2002-12-03,['member'],['Partija demokratskog progresa'],['Centre to centre-right'],['Unicameralism']
BA-SpajićAnto,"Anto, Spajić",M,2002-12-03,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-ZrnoBranko,"Branko, Zrno",M,2002-12-03,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-ŠiljegovićBoško,"Boško, Šiljegović",M,2002-12-03,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-StojanovićRuža,"Ruža, Stojanović",F,2002-12-03,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-RadovanovićVinko,"Vinko, Radovanović",M,2002-12-03,['member'],['Partija demokratskog progresa'],['Centre to centre-right'],['Unicameralism']
BA-ČoloAlma,"Alma, Čolo",F,2006-11-20,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-IvanićMladen,"Mladen, Ivanić",M,2006-11-20,['member'],['Partija demokratskog progresa'],['Centre to centre-right'],['Unicameralism']
BA-IbrahimpašićAdem,"Adem, Ibrahimpašić",M,2006-11-20,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-JovićIvoMiro,"Ivo Miro, Jović",M,2006-11-20,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-KoprivicaZoran,"Zoran, Koprivica",M,2006-11-20,['member'],['Savez nezavisnih socijaldemokrata'],['Syncretic politics'],['Unicameralism']
BA-MajkićDušanka,"Dušanka, Majkić",F,2002-12-03,['member'],['Savez nezavisnih socijaldemokrata'],['Syncretic politics'],['Unicameralism']
BA-LjubićBožo,"Božo, Ljubić",M,2006-11-20,['member'],"['Hrvatska demokratska zajednica 1991', 'Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne']","['Centre-right', 'Right']",['Unicameralism']
BA-RajićBožo,"Božo, Rajić",M,2006-11-20,['member'],['Hrvatska demokratska zajednica 1991'],['Centre-right'],['Unicameralism']
BA-RančićHazim,"Hazim, Rančić",M,2006-11-20,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-TihićSulejman,"Sulejman, Tihić",M,2006-11-20,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-ŠarabaSlobodan,"Slobodan, Šaraba",M,2006-11-20,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-BećirovićHasan,"Hasan, Bećirović",M,2010-11-30,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-BradarićMehmed,"Mehmed, Bradarić",M,2010-11-30,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-ČovićDragan,"Dragan, Čović",M,2010-11-30,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-HodžićSeudin,"Seudin, Hodžić",M,2010-11-30,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-KapetanovićNermina,"Nermina, Kapetanović",F,2010-11-30,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-KošaracStaša,"Staša, Košarac",M,2010-11-30,"['member', 'minister']",['Savez nezavisnih socijaldemokrata'],['Syncretic politics'],['Unicameralism']
BA-KrešićStjepan,"Stjepan, Krešić",M,2010-11-30,['member'],['Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne'],['Right'],['Unicameralism']
BA-KrištoBorjana,"Borjana, Krišto",F,2010-11-30,['member'],"['Hrvatska demokratska zajednica Bosne i Hercegovine', 'Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne']","['Centre-right', 'Right']",['Unicameralism']
BA-RagužMartin,"Martin, Raguž",M,2002-12-03,['member'],"['Hrvatska demokratska zajednica 1991', 'Hrvatska demokratska zajednica Bosne i Hercegovine']","['Centre-right', 'Centre-right']",['Unicameralism']
BA-SimićKrstan,"Krstan, Simić",M,2010-11-30,['member'],['Savez nezavisnih socijaldemokrata'],['Syncretic politics'],['Unicameralism']
BA-TadićOgnjen,"Ognjen, Tadić",M,2010-11-30,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-VrdoljakKrunoslav,"Krunoslav, Vrdoljak",M,2010-11-30,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-KadićSead,"Sead, Kadić",M,2014-12-09,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-PodžićSifet,"Sifet, Podžić",M,2014-12-09,"['member', 'minister']",['Demokratska fronta'],['Centre to centre-left'],['Unicameralism']
BA-RadončićFahrudin,"Fahrudin, Radončić",M,2012-11-22,"['member', 'minister']",['Savez za bolju budućnost'],['Centre-right'],['Unicameralism']
BA-ČolakBariša,"Bariša, Čolak",M,2007-01-11,"['member', 'minister']",['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-KaramatićMario,"Mario, Karamatić",M,2014-12-09,['member'],['Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne'],['Right'],['Unicameralism']
BA-DžambasZdenka,"Zdenka, Džambas",F,2014-12-09,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-RadmanovićNebojša,"Nebojša, Radmanović",M,2014-12-09,['member'],['Savez nezavisnih socijaldemokrata'],['Syncretic politics'],['Unicameralism']
BA-NovićSredoje,"Sredoje, Nović",M,2007-01-11,"['member', 'minister']",['Savez nezavisnih socijaldemokrata'],['Syncretic politics'],['Unicameralism']
BA-BabaljDarko,"Darko, Babalj",M,2010-11-30,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-SoftićSafet,"Safet, Softić",M,2014-12-09,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-ZovkoLjilja,"Ljilja, Zovko",F,2014-12-09,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-AlagićRaifa,"Raifa, Alagić",F,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-BičakčićEdhem,"Edhem, Bičakčić",M,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-ČaršimamovićTarik,"Tarik, Čaršimamović",M,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-BećirbašićSmail,"Smail, Bećirbašić",M,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-BogićevićBogić,"Bogić, Bogićević",M,1998-11-26,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-BakovićMirko,"Mirko, Baković",M,1998-11-26,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-BaltaRadenka,"Radenka, Balta",F,1998-11-26,['member'],['Srpska radikalna stranka Republike Srpske'],['Right'],['Unicameralism']
BA-DeretićMiodrag,"Miodrag, Deretić",M,1998-11-26,['member'],['Radikalna stranka Republike Srpske'],['Right'],['Unicameralism']
BA-BošnjakMilenka,"Milenka, Bošnjak",F,1998-11-26,['member'],['Sloga'],[nan],['Unicameralism']
BA-BanjacMirko,"Mirko, Banjac",M,1998-11-26,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-FilipovićMediha,"Mediha, Filipović",F,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-JahićAdnan,"Adnan, Jahić",M,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-KadićRasim,"Rasim, Kadić",M,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-KarićMunira,"Munira, Karić",F,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-ĐedovićIbrahim,"Ibrahim, Đedović",M,1998-11-26,['member'],['Demokratska narodna zajednica BiH'],['Big tent'],['Unicameralism']
BA-HavelAna,"Ana, Havel",F,1998-11-26,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-DokićBranko,"Branko, Dokić",M,1998-11-26,['member'],"['Partija demokratskog progresa', 'Sloga']","['Centre to centre-right', nan]",['Unicameralism']
BA-JovanovićBranislava,"Branislava, Jovanović",F,1998-11-26,['member'],['Sloga'],[nan],['Unicameralism']
BA-KulovićHamdija,"Hamdija, Kulović",M,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-OručevićSafet,"Safet, Oručević",M,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-MalkićAbdurahman,"Abdurahman, Malkić",M,1998-11-26,['member'],"['Koalicija za cjelovitu i demokratsku BiH', 'Stranka demokratske akcije']","[nan, 'Centre-right to right']",['Unicameralism']
BA-LagumdžijaZlatko,"Zlatko, Lagumdžija",M,1998-11-26,"['member', 'minister']",['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-MijačevićIvo,"Ivo, Mijačević",M,1998-11-26,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-MuminagićSuada,"Suada, Muminagić",F,1998-11-26,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-MikulićAnita,"Anita, Mikulić",F,1998-11-26,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-LozančićIvo,"Ivo, Lozančić",M,1998-11-26,['member'],"['Nova hrvatska inicijativa', 'Koalicija Nova hrvatska inicijativa - Hrvatska kršćanska demokratska unija Bosne i Hercegovine']","['Left', 'Centre']",['Unicameralism']
BA-MirkovićDragan,"Dragan, Mirković",M,1998-11-26,['member'],['Srpska radikalna stranka Republike Srpske'],['Right'],['Unicameralism']
BA-RaščićRijad,"Rijad, Raščić",M,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-SilajdžićHaris,"Haris, Silajdžić",M,1998-11-26,['member'],['Koalicija za cjelovitu i demokratsku BiH'],[nan],['Unicameralism']
BA-PašalićIvicaLhotak,"Ivica (Lhotak), Pašalić",M,1998-11-26,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-SkopljakPero,"Pero, Skopljak",M,1998-11-26,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-RakićVito,"Vito, Rakić",M,1998-11-26,['member'],['Sloga'],[nan],['Unicameralism']
BA-PerkanovićMarija,"Marija, Perkanović",F,1998-11-26,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-RađevićDesanka,"Desanka, Rađević",F,1998-11-26,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-ZovkoLjubomir,"Ljubomir, Zovko",M,1998-11-26,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-BjelobrkBoro,"Boro, Bjelobrk",M,2000-12-29,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-AvdićSead,"Sead, Avdić",M,2000-12-29,['member'],"['Socijaldemokratska partija Bosne i Hercegovine', 'Socijaldemokratska unija Bosne i Hercegovine']","['Centre-left', 'Centre-left']",['Unicameralism']
BA-BorićAdem,"Adem, Borić",M,2000-12-29,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-AmiđićMarko,"Marko, Amiđić",M,2000-12-29,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-BegovićMuhamed,"Muhamed, Begović",M,2000-12-29,['member'],['Stranka za Bosnu i Hercegovinu'],['Centre'],['Unicameralism']
BA-BilbijaŽeljko,"Željko, Bilbija",M,2000-12-29,['member'],['Partija demokratskog progresa'],['Centre to centre-right'],['Unicameralism']
BA-FerzanovićBranislava,"Branislava, Ferzanović",M,2000-12-29,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-FilipovićOmer,"Omer, Filipović",M,2000-12-29,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-KamberovićVioleta,"Violeta, Kamberović",F,2000-12-29,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-ButurovićSead,"Sead, Buturović",M,2000-12-29,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-GrabovacTitanMiro,"Miro, Grabovac Titan",M,2000-12-29,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-CuplovMustafa,"Mustafa, Cuplov",M,2000-12-29,['member'],['Stranka za Bosnu i Hercegovinu'],['Centre'],['Unicameralism']
BA-JovanovićMirko,"Mirko, Jovanović",M,2000-12-29,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-KovačevićLjubomir,"Ljubomir, Kovačević",M,2000-12-29,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-GligorićTihomir,"Tihomir, Gligorić",M,2000-12-29,['member'],['Socijalistička partija'],['Centre-left'],['Unicameralism']
BA-MašićDamir,"Damir, Mašić",M,2000-12-29,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-MašovićAmor,"Amor, Mašović",M,2000-12-29,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-KulenovićSalih,"Salih, Kulenović",M,2000-12-29,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-LjubićMariofil,"Mariofil, Ljubić",M,2000-12-29,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-MajdandžićFranjo,"Franjo, Majdandžić",M,2000-12-29,['member'],['Stranka za Bosnu i Hercegovinu'],['Centre'],['Unicameralism']
BA-MehtićHalil,"Halil, Mehtić",M,2000-12-29,['member'],['Bosanskohercegovačka stranka prava 1861'],[nan],['Unicameralism']
BA-MijatovićMirko,"Mirko, Mijatović",M,2000-12-29,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-LolićBranislav,"Branislav, Lolić",M,2000-12-29,['member'],['Srpski narodni savez'],['Centre-right'],['Unicameralism']
BA-ŠarganovićSenad,"Senad, Šarganović",M,2000-12-29,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-StanimirovićDragi,"Dragi, Stanimirović",M,2000-12-29,['member'],['Socijaldemokratska partija Bosne i Hercegovine'],['Centre-left'],['Unicameralism']
BA-PurićMirsad,"Mirsad, Purić",M,2000-12-29,['member'],['Stranka za Bosnu i Hercegovinu'],['Centre'],['Unicameralism']
BA-OsmanovićBahrija,"Bahrija, Osmanović",F,2000-12-29,['member'],['Demokratska stranka penzionera BiH'],[nan],['Unicameralism']
BA-SpasojevićZoran,"Zoran, Spasojević",M,2000-12-29,['member'],['Srpska demokratska stranka'],['Centre-right to right'],['Unicameralism']
BA-StokićDušan,"Dušan, Stokić",M,2000-12-29,['member'],['Partija demokratskog progresa'],['Centre to centre-right'],['Unicameralism']
BA-MirjanićŽeljko,"Željko, Mirjanić",M,2000-12-29,['member'],['Koalicija Savez nezavisnih socijaldemokrata'],['Right'],['Unicameralism']
BA-ŠašivarevićNedžad,"Nedžad, Šašivarević",M,2000-12-29,['member'],['Stranka za Bosnu i Hercegovinu'],['Centre'],['Unicameralism']
BA-VilićRamiz,"Ramiz, Vilić",M,2000-12-29,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-VukićZdenko,"Zdenko, Vukić",M,2000-12-29,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
BA-ZaćiragićEmina,"Emina, Zaćiragić",F,2000-12-29,['member'],['Stranka za Bosnu i Hercegovinu'],['Centre'],['Unicameralism']
BA-ĆemanMirsad,"Mirsad, Ćeman",M,2002-12-03,['member'],['Stranka demokratske akcije'],['Centre-right to right'],['Unicameralism']
BA-BelkićBeriz,"Beriz, Belkić",M,2002-12-03,['member'],['Stranka za Bosnu i Hercegovinu'],['Centre'],['Unicameralism']
BA-DurakovićNijaz,"Nijaz, Duraković",M,2002-12-03,['member'],['Stranka za Bosnu i Hercegovinu'],['Centre'],['Unicameralism']
BA-AndrićFilip,"Filip, Andrić",M,2002-12-03,['member'],['Hrvatska demokratska zajednica Bosne i Hercegovine'],['Centre-right'],['Unicameralism']
