name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
BE-Legio,"L, Egio",nan,nan,[],[],[],[]
BE-VanderDoncktWim,"Wim, Van der Donckt",M,2017-03-09,['member'],[],[],['Lower house']
BE-AvontroodtYolande,"Yolande, Avontroodt",F,2003-06-05,['member'],[],[],['Lower house']
BE-VanackereSteven,"Steven, Vanackere",M,2010-07-06,"['deputyHead', 'member']",[],[],['Lower house']
BE-HamalOlivier,"Olivier, Hamal",M,2007-06-28,['member'],[],[],['Lower house']
BE-LansensPatrick,"Patrick, Lansens",M,2003-07-14,['member'],[],[],['Lower house']
BE-SimonetMarieDominique,"Marie-Dominique, Simonet",F,2007-06-28,['member'],[],[],['Lower house']
BE-YzerbytDamien,"Damien, Yzerbyt",M,2004-07-30,['member'],[],[],['Lower house']
BE-MusinLinda,"Linda, Musin",F,2007-06-28,['member'],[],[],['Lower house']
BE-WilmèsSophie,"Sophie, Wilmès",F,2014-10-14,"['deputyHead', 'head', 'member', 'minister']",[],[],['Lower house']
BE-SchryversKatrien,"Katrien, Schryvers",F,2005-01-13,['member'],[],[],['Lower house']
BE-DonnéJoy,"Joy, Donné",M,2019-10-03,['member'],[],[],['Lower house']
BE-SamynEllen,"Ellen, Samyn",F,2019-06-20,['member'],[],[],['Lower house']
BE-DoomstMichel,"Michel, Doomst",M,2007-06-28,['member'],[],[],['Lower house']
BE-LambertMarieClaire,"Marie-Claire, Lambert",F,2003-06-05,['member'],[],[],['Lower house']
BE-GietThierry,"Thierry, Giet",M,2003-06-05,['member'],[],[],['Lower house']
BE-CasloNancy,"Nancy, Caslo",F,2003-06-05,['member'],[],[],['Lower house']
BE-CortoisWilly,"Willy, Cortois",M,2003-06-05,['member'],[],[],['Lower house']
BE-MaertensBert,"Bert, Maertens",M,2010-07-20,['member'],[],[],['Lower house']
BE-DupontChristian,"Christian, Dupont",M,2007-06-28,['member'],[],[],['Lower house']
BE-PirlotSébastian,"Sébastian, Pirlot",M,2014-06-19,['member'],[],[],['Lower house']
BE-DenisRobert,"Robert, Denis",M,2003-06-05,['member'],[],[],['Lower house']
BE-GilsonNathalie,"Nathalie, Gilson",F,2020-03-17,['member'],[],[],['Lower house']
BE-VanhiePaul,"Paul, Vanhie",M,2009-07-02,['member'],[],[],['Lower house']
BE-LahbibHadja,"Hadja, Lahbib",F,2022-07-15,"['member', 'minister']",[],[],[]
BE-PlatteauEva,"Eva, Platteau",F,2019-06-20,['member'],[],[],['Lower house']
BE-LijnenNele,"Nele, Lijnen",F,2014-06-19,['member'],[],[],['Lower house']
BE-DallemagneGeorges,"Georges, Dallemagne",M,2008-03-20,['member'],[],[],['Lower house']
BE-DeCromSandrine,"Sandrine, De Crom",F,2018-12-06,['member'],[],[],['Lower house']
BE-BuysroggePeter,"Peter, Buysrogge",M,2014-06-19,['member'],[],[],['Lower house']
BE-VicaireAlbert,"Albert, Vicaire",M,2019-06-20,['member'],[],[],['Lower house']
BE-BacquelaineDaniel,"Daniel, Bacquelaine",M,2003-06-05,"['member', 'minister']",[],[],['Lower house']
BE-ChastelOlivier,"Olivier, Chastel",M,2003-06-05,['member'],[],[],['Lower house']
BE-SchiltzWillemFrederik,"Willem-Frederik, Schiltz",M,2007-06-28,['member'],[],[],['Lower house']
BE-OvertveldtJohan,"Johan, Overtveldt",M,2014-10-11,['member'],[],[],[]
BE-PerpèteAndré,"André, Perpète",M,2003-06-05,['member'],[],[],['Lower house']
BE-DeManFilip,"Filip, De Man",M,2003-06-05,['member'],[],[],['Lower house']
BE-DaemsHendrik,"Hendrik, Daems",M,2003-06-05,['member'],[],[],['Lower house']
BE-VanCampenhoutLudo,"Ludo, Van Campenhout",M,2003-06-05,['member'],[],[],['Lower house']
BE-DiRupoElio,"Elio, Di Rupo",M,2003-06-05,"['head', 'member']",[],[],['Lower house']
BE-GhenneVéronique,"Véronique, Ghenne",F,2004-07-01,['member'],[],[],['Lower house']
BE-StormsAnnelies,"Annelies, Storms",F,2003-06-05,['member'],[],[],['Lower house']
BE-GeertsDavid,"David, Geerts",M,2004-07-08,['member'],[],[],['Lower house']
BE-DermagnePierreYves,"Pierre-Yves, Dermagne",M,2020-10-01,"['deputyHead', 'member', 'minister']",[],[],[]
BE-DufraneAnthony,"Anthony, Dufrane",M,2010-07-06,['member'],[],[],['Lower house']
BE-BorsusWilly,"Willy, Borsus",M,2014-10-11,"['member', 'minister']",[],[],[]
BE-DermineThomas,"Thomas, Dermine",M,2020-10-01,['member'],[],[],[]
BE-VandeVeldeRobert,"Robert, Van de Velde",M,2007-06-28,['member'],[],[],['Lower house']
BE-NolletJeanMarc,"Jean-Marc, Nollet",M,2003-06-05,['member'],[],[],['Lower house']
BE-SchoofsBert,"Bert, Schoofs",M,2003-06-05,['member'],[],[],['Lower house']
BE-TurtelboomAnnemie,"Annemie, Turtelboom",F,2003-06-26,['member'],[],[],['Lower house']
BE-BenAchourMalik,"Malik, Ben Achour",M,2019-06-20,['member'],[],[],['Lower house']
BE-JadinKattrin,"Kattrin, Jadin",F,2007-06-28,['member'],[],[],['Lower house']
BE-LanjriNahima,"Nahima, Lanjri",F,2003-06-05,['member'],[],[],['Lower house']
BE-AnnemansGerolf,"Gerolf, Annemans",M,2003-06-05,['member'],[],[],['Lower house']
BE-VerhaertInga,"Inga, Verhaert",F,2004-07-08,['member'],[],[],['Lower house']
BE-CapoenAn,"An, Capoen",F,2014-06-19,['member'],[],[],['Lower house']
BE-BalcaenRonny,"Ronny, Balcaen",M,2009-07-16,['member'],[],[],['Lower house']
BE-DePotterJenne,"Jenne, De Potter",M,2008-01-17,['member'],[],[],['Lower house']
BE-DumeryDaphné,"Daphné, Dumery",F,2010-07-06,['member'],[],[],['Lower house']
BE-VanSteenbergeGerda,"Gerda, Van Steenberge",F,2003-06-05,['member'],[],[],['Lower house']
BE-ChabotJacques,"Jacques, Chabot",M,2003-06-05,['member'],[],[],['Lower house']
BE-LambrechtAnnick,"Annick, Lambrecht",F,2017-01-12,['member'],[],[],['Lower house']
BE-VanNoppenFlor,"Flor, Van Noppen",M,2007-06-28,['member'],[],[],['Lower house']
BE-GustinLuc,"Luc, Gustin",M,2004-07-01,['member'],[],[],['Lower house']
BE-DeGrootePatrick,"Patrick, De Groote",M,2004-07-30,['member'],[],[],['Lower house']
BE-JanssenWerner,"Werner, Janssen",M,2014-06-19,['member'],[],[],['Lower house']
BE-CalvoKristof,"Kristof, Calvo",M,2010-07-06,['member'],[],[],['Lower house']
BE-VanCampYoleen,"Yoleen, Van Camp",F,2014-06-19,['member'],[],[],['Lower house']
BE-MichelCharles,"Charles, Michel",M,2003-06-05,"['head', 'member']",[],[],['Lower house']
BE-JamarHervé,"Hervé, Jamar",M,2014-10-11,['member'],[],[],[]
BE-VerhelstKathleen,"Kathleen, Verhelst",F,2019-06-20,['member'],[],[],['Lower house']
BE-VanGoolGreet,"Greet, Van Gool",F,2003-06-05,['member'],[],[],['Lower house']
BE-TopAlain,"Alain, Top",M,2014-06-19,['member'],[],[],['Lower house']
BE-CassartMailleuxCaroline,"Caroline, Cassart-Mailleux",F,2014-06-19,['member'],[],[],['Lower house']
BE-MoriauPatrick,"Patrick, Moriau",M,2003-06-05,['member'],[],[],['Lower house']
BE-MassinEric,"Eric, Massin",M,2003-06-05,['member'],[],[],['Lower house']
BE-PonceletIsabelle,"Isabelle, Poncelet",F,2014-06-19,['member'],[],[],['Lower house']
BE-DaerdenMichel,"Michel, Daerden",M,2003-06-05,['member'],[],[],['Lower house']
BE-WerbrouckUlla,"Ulla, Werbrouck",F,2007-06-28,['member'],[],[],['Lower house']
BE-GoethalsSigrid,"Sigrid, Goethals",F,2020-09-17,['member'],[],[],['Lower house']
BE-CavdarliCemal,"Cemal, Cavdarli",M,2003-07-14,['member'],[],[],['Lower house']
BE-VanhengelGuy,"Guy, Vanhengel",M,2010-07-06,['member'],[],[],['Lower house']
BE-WarzéeCaverenneValérie,"Valérie, Warzée-Caverenne",F,2011-12-07,['member'],[],[],['Lower house']
BE-SimonetJacques,"Jacques, Simonet",M,2003-06-05,['member'],[],[],['Lower house']
BE-VanrobaeysAnja,"Anja, Vanrobaeys",F,2019-06-20,['member'],[],[],['Lower house']
BE-VanBiesenLuk,"Luk, Van Biesen",M,2004-07-21,['member'],[],[],['Lower house']
BE-YükselVeli,"Veli, Yüksel",M,2014-06-19,['member'],[],[],['Lower house']
BE-DelpéréeFrancis,"Francis, Delpérée",M,2014-06-19,['member'],[],[],['Lower house']
BE-CasaerDylan,"Dylan, Casaer",M,2004-09-15,['member'],[],[],['Lower house']
BE-DemotteRudy,"Rudy, Demotte",M,2003-06-05,['member'],[],[],['Lower house']
BE-deDonneaFrançoisXavier,"François-Xavier, de Donnea",M,2003-06-05,['member'],[],[],['Lower house']
BE-ParentNicolas,"Nicolas, Parent",M,2020-10-01,['member'],[],[],['Lower house']
BE-SnoyetdOppuersThérèse,"Thérèse, Snoy et d'Oppuers",F,2007-06-28,['member'],[],[],['Lower house']
BE-MoermanFientje,"Fientje, Moerman",F,2003-06-05,['member'],[],[],['Lower house']
BE-GorisStef,"Stef, Goris",M,2003-06-05,['member'],[],[],['Lower house']
BE-VanRoyDominique,"Dominique, Van Roy",M,2007-01-18,['member'],[],[],['Lower house']
BE-CornetCécile,"Cécile, Cornet",F,2020-10-01,['member'],[],[],['Lower house']
BE-DestrebecqOlivier,"Olivier, Destrebecq",M,2008-03-20,['member'],[],[],['Lower house']
BE-SomersIne,"Ine, Somers",F,2008-12-31,['member'],[],[],['Lower house']
BE-CoëmeGuy,"Guy, Coëme",M,2007-06-28,['member'],[],[],['Lower house']
BE-NagyMarie,"Marie, Nagy",F,2003-06-05,['member'],[],[],['Lower house']
BE-BleekerEva,"Eva, Bleeker",F,2020-10-01,['member'],[],[],[]
BE-VercamerStefaan,"Stefaan, Vercamer",M,2007-06-28,['member'],[],[],['Lower house']
BE-DeRammelaereEls,"Els, De Rammelaere",F,2007-06-28,['member'],[],[],['Lower house']
BE-VanDaeleLieve,"Lieve, Van Daele",F,2007-12-21,['member'],[],[],['Lower house']
BE-ValkeniersBruno,"Bruno, Valkeniers",M,2007-06-28,['member'],[],[],['Lower house']
BE-DedonderLudivine,"Ludivine, Dedonder",F,2019-06-20,"['member', 'minister']",[],[],['Lower house']
BE-VandeLanotteJohan,"Johan, Vande Lanotte",M,2003-06-05,"['deputyHead', 'member']",[],[],['Lower house']
BE-OnkelinxLaurette,"Laurette, Onkelinx",F,2003-06-05,"['deputyHead', 'member']",[],[],['Lower house']
BE-LouisLaurent,"Laurent, Louis",M,2010-07-06,['member'],[],[],['Lower house']
BE-DedeckerJeanMarie,"Jean-Marie, Dedecker",M,2007-06-10,['member'],[],[],['Lower house']
BE-CheronMarcel,"Marcel, Cheron",M,2014-06-19,['member'],[],[],['Lower house']
BE-SchlitzSarah,"Sarah, Schlitz",F,2018-10-18,['member'],[],[],['Lower house']
BE-MuylleNathalie,"Nathalie, Muylle",F,2004-07-08,"['member', 'minister']",[],[],['Lower house']
BE-LeysenChristian,"Christian, Leysen",M,2019-06-20,['member'],[],[],['Lower house']
BE-VanRompuyHerman,"Herman, Van Rompuy",M,2003-06-05,['member'],[],[],['Lower house']
BE-TillieuxEliane,"Eliane, Tillieux",F,2019-06-20,['member'],[],[],['Lower house']
