name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
BG-PlevnelievRosen,"Росен Rosen, Асенов Плевнелиев Asenov Plevneliev",M,2012-01-22,['head'],[],[],[]
BG-RadevRumen,"Румен Rumen, Георгиев Радев Georgiev Radev",M,2017-01-22,['head'],[],[],[]
BG-IotovaIliana,"Илияна Iliana, Малинова Йотова Malinova Iotova",F,2017-01-22,['deputyHead'],[],[],[]
BG-TajaniAntonio,"Антонио Antonio, Таяни Tajani",M,2017-01-17,['head'],[],[],[]
BG-VoutsisNikos,"Николаос Nikos, Вуцис Voutsis",M,nan,[],[],[],[]
BG-GeshevIvan,"Иван Ivan, Стоименов Гешев Stoimenov Geshev",M,2019-12-18,['head'],[],[],[]
BG-TsatsarovSotir,"Сотир Sotir, Стефанов Цацаров Stefanov Tsatsarov",M,2013-01-10,['head'],[],[],[]
BG-VodenicharovStefan,"Стефан Stefan, Борисов Воденичаров Borisov Vodenicharov",M,2012-12-03,['head'],[],[],[]
BG-RevalskiJulian,"Юлиан Julian, Петров Ревалски Petrov Revalski",M,2016-12-01,['head'],[],[],[]
BG-GenchovskaTeodora,"Теодора Teodora, Димитрова Генчовска Dimitrova Genchovska",F,2021-12-13,"['member', 'minister']",[],[],[]
BG-PopovAngel,"Ангел Angel, Попов Popov",M,nan,"['deputyHead', 'member']",[],[],[]
BG-ZapryanovAtanas,"Атанас Atanas, Димитров Запрянов Dimitrov Zapryanov",M,2015-07-05,"['deputyHead', 'member']",[],[],[]
BG-PetkovBiser,"Бисер Biser, Петков Petkov",M,2017-05-04,"['member', 'minister']",[],[],[]
BG-ManolovBiser,"Бисер Biser, Стоянов Манолов Stoyanov Manolov",M,nan,[],[],[],[]
BG-BanovBoil,"Боил Boil, Банов Banov",M,2017-05-04,"['member', 'minister']",[],[],[]
BG-MalinovBojko,"Бойко Boyko, Малинов Malinov",M,2014-08-13,"['deputyHead', 'member']",[],[],[]
BG-PenkovBojko,"Бойко Boyko, Пенков Penkov",M,nan,"['deputyHead', 'member']",[],[],[]
BG-PoryazovValentin,"Валентин Valentin, Порязов Poryazov",M,nan,"['deputyHead', 'member']",[],[],[]
BG-BorisovValeri,"Валери Valeri, Борисов Borisov",M,nan,"['deputyHead', 'member']",[],[],[]
BG-StonovVasil,"Васил Vasil, Атанасов Щонов Atanasov Shtonov",M,2014-08-06,"['member', 'minister']",[],[],[]
BG-GrudevVasil,"Васил Vasil, Грудев Grudev",M,2014-08-06,"['deputyHead', 'member', 'minister']",[],[],[]
BG-KrystevaVerginya,"Вергиния Verginiya, Кръстева Krasteva",F,nan,"['deputyHead', 'member']",[],[],[]
BG-KostovGeorgi,"Георги Georgi, Костов Kostov",M,2014-08-11,"['deputyHead', 'member']",[],[],[]
BG-DonevGylyb,"Гълъб Galab, Спасов Донев Spasov Donev",M,2014,"['deputyHead', 'member', 'minister']",[],[],[]
BG-KostovDimityr,"Димитър Dimitar, Иванов Костов Ivanov Kostov",M,1990,"['deputyHead', 'member', 'minister']",[],[],[]
BG-KyumyurdzhievDimityr,"Димитър Dimitar, Иванов Кюмюрджиев Ivanov Kyumyurdzhiev",M,2014-12-11,"['deputyHead', 'member']",[],[],[]
BG-KaranikolovEmil,"Емил Emil, Любенов Караниколов Lyubenov Karanikolov",M,2017-05-04,"['member', 'minister']",[],[],[]
BG-NachevaZheni,"Жени Zheni, Начева Nacheva",F,nan,"['deputyHead', 'member']",[],[],[]
BG-RoussinovaZornitsa,"Зорница Zornitsa, Димитрова Русинова Dimitrova Rusinova",F,2009,"['member', 'minister']",['Граждани за европейско развитие на България'],['Centre-right'],[]
BG-DimovIvan,"Иван Ivan, Димов Dimov",M,nan,"['deputyHead', 'member']",[],[],[]
BG-CanovaIliyana,"Илияна Iliyana, Димитрова Цанова Dimitrova Tsanova",F,2013-03-13,"['deputyHead', 'member']",[],[],[]
BG-SemerdzievIlko,"Илко Ilko, Тодоров Семерджиев Todorov Semerdzhiev",M,2017-01-27,"['deputyHead', 'member']",[],[],[]
