name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
CZ-AdamKalous.1979,"Adam, Kalous",M,2017-10-21,"['deputyHead', 'head', 'member', 'representative', 'verifier']",['ANO2011'],['Centre to centre-right'],['Lower house']
CZ-AdamRykala.1986,"Adam, Rykala",M,2010-05-29,"['deputyHead', 'head', 'member', 'representative', 'verifier']",['Česká strana sociálně demokratická'],['Centre-left'],['Lower house']
CZ-AdamVojtech.1986,"Adam, Vojtěch",M,2017-10-21,"['member', 'minister', 'representative', 'verifier']",['ANO2011'],['Centre to centre-right'],['Lower house']
CZ-AdelaSipova,"Adéla, Šípová",F,2020-10-10,['member'],[],[],"['Upper house', 'Upper house']"
CZ-AdolfBeznoska.1961,"Adolf, Beznoska",M,2013-10-26,"['head', 'member', 'representative', 'verifier']",['Občanská demokratická strana'],['Centre-right to right'],['Lower house']
CZ-AlenaDernerova,"Alena, Dernerová",F,2017-01-28,['member'],[],[],['Upper house']
CZ-AlenaGajduskova.1954,"Alena, Gajdůšková",F,2002-11-02,"['deputyHead', 'member', 'replacement', 'representative', 'verifier']",['Česká strana sociálně demokratická'],['Centre-left'],"['Lower house', 'Upper house']"
CZ-AlenaNohavova.1960,"Alena, Nohavová",F,2013-10-26,"['deputyHead', 'member', 'representative']",['Komunistická strana Čech a Moravy'],['Left to far-left'],['Lower house']
CZ-AlenaSchillerova.1964,"Alena, Schillerová",F,2017-12-13,"['deputyHead', 'head', 'member', 'minister', 'representative']",['ANO2011'],['Centre to centre-right'],['Lower house']
CZ-AlenaSromova,"Alena, Šromová",F,2014-10-18,['member'],[],[],['Upper house']
CZ-AlesDufek.1973,"Aleš, Dufek",M,2021-10-09,"['deputyHead', 'head', 'member', 'representative']",['Spolu'],['Centre-right'],['Lower house']
CZ-AlesJuchelka.1976,"Aleš, Juchelka",M,2017-10-21,"['deputyHead', 'head', 'member', 'replacement', 'representative']",['ANO2011'],['Centre to centre-right'],['Lower house']
CZ-AlexanderCerny.1953,"Alexander, Černý",M,2002-06-15,"['deputyHead', 'member', 'representative', 'verifier']",['Komunistická strana Čech a Moravy'],['Left to far-left'],['Lower house']
CZ-AndreaBabisova.1972,"Andrea, Babišová",F,2017-10-21,"['head', 'member', 'replacement', 'representative']",['ANO2011'],['Centre to centre-right'],['Lower house']
CZ-AndreaBrzobohata.1971,"Andrea, Brzobohatá",F,2017-10-21,"['deputyHead', 'member', 'replacement', 'representative', 'verifier']",['ANO2011'],['Centre to centre-right'],['Lower house']
CZ-AndrejBabis.1954,"Andrej, Babiš",M,2013-10-26,"['deputyHead', 'head', 'member', 'minister', 'representative']",['ANO2011'],['Centre to centre-right'],['Lower house']
CZ-AndrejDanko,"Andrej, Danko",nan,nan,[],[],[],[]
CZ-AnnaHubackova.1957,"Anna, Hubáčková",F,2016-10-15,"['member', 'minister']",[],[],['Upper house']
CZ-AnnaPutnova.1960,"Anna, Putnová",F,2010-05-29,"['deputyHead', 'head', 'member', 'replacement', 'representative']",['TOP 09'],['Centre-right'],['Lower house']
CZ-AnnaSabatova.1951,"Anna, Šabatová",F,2001-01-25,"['member', 'publicDefenderOfRights', 'vicePublicDefenderOfRights']",[],[],[]
CZ-AntoninPrachar.1962,"Antonín, Prachař",M,2014-01-29,"['member', 'minister']",[],[],[]
CZ-AntoninSeda.1960,"Antonín, Seďa",M,2002-06-15,"['deputyHead', 'head', 'member', 'replacement', 'representative']",['Česká strana sociálně demokratická'],['Centre-left'],['Lower house']
