name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
DK-LarsenAajaChemnitz,"Aaja Chemnitz, Larsen",F,nan,['member'],['Inuit Ataqatigiit'],['Left'],['Unicameralism']
DK-RazviAbbas,"Abbas, Razvi",M,nan,['member'],['Radikale Venstre'],['Centre to centre-left'],['Unicameralism']
DK-HøeghDamAkiMatilda,"Aki-Matilda, Høegh-Dam",F,nan,['member'],['Siumut'],['Centre-left'],['Unicameralism']
DK-HammondAleqa,"Aleqa, Hammond",F,2015-06-18,['member'],"['Nunatta Qitornai', 'Siumut', 'Uden for folketingsgrupperne']","['Left', 'Centre-left', nan]",['Unicameralism']
DK-AhrendtsenAlex,"Alex, Ahrendtsen",M,nan,['member'],['Dansk Folkeparti'],['Right'],['Unicameralism']
DK-VanopslaghAlex,"Alex, Vanopslagh",M,nan,['member'],['Liberal Alliance'],['Centre-right to right'],['Unicameralism']
DK-GrandtAlexander,"Alexander, Grandt",M,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-ChristensenAndersG,"Anders G., Christensen",M,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-JohanssonAnders,"Anders, Johansson",M,nan,['member'],['Det Konservative Folkeparti'],['Centre-right'],['Unicameralism']
DK-KronborgAnders,"Anders, Kronborg",M,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-SamuelsenAnders,"Anders, Samuelsen",M,nan,"['member', 'minister']",['Liberal Alliance'],['Centre-right to right'],['Unicameralism']
DK-StjernholmAnders,"Anders, Stjernholm",M,nan,['member'],['Alternativet'],['Centre to centre-left'],['Unicameralism']
DK-SteenbergAndreas,"Andreas, Steenberg",M,nan,['member'],['Radikale Venstre'],['Centre to centre-left'],['Unicameralism']
DK-HalsboeJørgensenAne,"Ane, Halsboe-Jørgensen",F,nan,"['member', 'minister']",['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-BrændemoseAnna,"Anna, Brændemose",F,nan,['member'],['Socialistisk Folkeparti'],['Centre-left to left'],['Unicameralism']
DK-BaastrupAnne,"Anne, Baastrup",F,nan,['member'],['Socialistisk Folkeparti'],['Centre-left to left'],['Unicameralism']
DK-ØstergaardAnneHonoré,"Anne Honoré, Østergaard",F,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-AndersenAnneMarieGeisler,"Anne Marie, Geisler Andersen",F,nan,['member'],['Radikale Venstre'],['Centre to centre-left'],['Unicameralism']
DK-ChristiansenAnneMetteWinther,"Anne-Mette Winther, Christiansen",F,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-PaulinAnne,"Anne, Paulin",F,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-RasmussenAnne,"Anne, Rasmussen",F,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-SinaAnne,"Anne, Sina",F,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-CallesenAnneSophie,"Anne Sophie, Callesen",F,nan,['member'],['Radikale Venstre'],['Centre to centre-left'],['Unicameralism']
DK-LindAnnette,"Annette, Lind",F,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-VilhelmsenAnnette,"Annette, Vilhelmsen",F,nan,['member'],['Socialistisk Folkeparti'],['Centre-left to left'],['Unicameralism']
DK-BerthelsenAnneValentina,"Anne Valentina, Berthelsen",F,nan,['member'],['Socialistisk Folkeparti'],['Centre-left to left'],['Unicameralism']
DK-MatthiesenAnni,"Anni, Matthiesen",F,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-CarøeAstrid,"Astrid, Carøe",F,nan,['member'],['Socialistisk Folkeparti'],['Centre-left to left'],['Unicameralism']
DK-KragAstrid,"Astrid, Krag",F,nan,"['member', 'minister']",['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-AndersenBalderMørk,"Balder Mørk, Andersen",M,nan,['member'],['Socialistisk Folkeparti'],['Centre-left to left'],['Unicameralism']
DK-ApolBarbaraGaardlykke,"Barbara, Gaardlykke Apol",F,nan,['member'],['Javnaðarflokkurin'],['Centre-left'],['Unicameralism']
DK-EngelbrechtBenny,"Benny, Engelbrecht",M,nan,"['member', 'minister']",['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-BøgstedBent,"Bent, Bøgsted",M,nan,['member'],['Dansk Folkeparti'],['Right'],['Unicameralism']
DK-HaarderBertel,"Bertel, Haarder",M,nan,"['member', 'minister']",['Venstre'],['Centre-right'],['Unicameralism']
DK-BergmanBirgitte,"Birgitte, Bergman",F,nan,['member'],['Det Konservative Folkeparti'],['Centre-right'],['Unicameralism']
DK-JosefsenBirgitte,"Birgitte, Josefsen",F,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-VindBirgitte,"Birgitte, Vind",F,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-HornbechBirtheRønn,"Birthe Rønn, Hornbech",F,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-CorydonBjarne,"Bjarne, Corydon",M,nan,"['member', 'minister']",['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-LaustsenBjarne,"Bjarne, Laustsen",M,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-HammerBjarni,"Bjarni, Hammer",M,nan,['member'],['Javnaðarflokkurin'],['Centre-left'],['Unicameralism']
DK-BrandenborgBjørn,"Bjørn, Brandenborg",M,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-BressendorffBrian,"Brian, Bressendorff",M,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-MikkelsenBrian,"Brian, Mikkelsen",M,nan,"['member', 'minister']",['Det Konservative Folkeparti'],['Centre-right'],['Unicameralism']
DK-JerkelBrigitteKlintskov,"Brigitte Klintskov, Jerkel",F,nan,['member'],['Det Konservative Folkeparti'],['Centre-right'],['Unicameralism']
DK-BagerBritt,"Britt, Bager",F,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-JerupBruno,"Bruno, Jerup",M,nan,['member'],['Enhedslisten'],['Left to far-left'],['Unicameralism']
DK-FabriciusCamilla,"Camilla, Fabricius",F,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-HersomCamilla,"Camilla, Hersom",F,nan,['member'],['Radikale Venstre'],['Centre to centre-left'],['Unicameralism']
DK-HolstCarl,"Carl, Holst",M,nan,"['member', 'minister']",['Venstre'],['Centre-right'],['Unicameralism']
DK-ValentinCarl,"Carl, Valentin",M,nan,['member'],['Socialistisk Folkeparti'],['Centre-left to left'],['Unicameralism']
DK-MaierCarolinaMagdalene,"Carolina Magdalene, Maier",F,nan,['member'],['Alternativet'],['Centre to centre-left'],['Unicameralism']
DK-BachCarsten,"Carsten, Bach",M,nan,['member'],['Liberal Alliance'],['Centre-right to right'],['Unicameralism']
DK-HansenCarsten,"Carsten, Hansen",M,nan,"['member', 'minister']",['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-KissmeyerCarsten,"Carsten, Kissmeyer",M,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-KudskCarsten,"Carsten, Kudsk",M,nan,['member'],['Dansk Folkeparti'],['Right'],['Unicameralism']
DK-MølbækCharlotteBroman,"Charlotte Broman, Mølbæk",F,nan,['member'],['Socialistisk Folkeparti'],['Centre-left to left'],['Unicameralism']
DK-DyremoseCharlotte,"Charlotte, Dyremose",F,nan,['member'],['Det Konservative Folkeparti'],['Centre-right'],['Unicameralism']
DK-JuhlChristian,"Christian, Juhl",M,nan,['member'],['Enhedslisten'],['Left to far-left'],['Unicameralism']
DK-LangballeChristian,"Christian, Langballe",M,nan,['member'],['Dansk Folkeparti'],['Right'],['Unicameralism']
DK-PollChristian,"Christian, Poll",M,nan,['member'],['Alternativet'],['Centre to centre-left'],['Unicameralism']
DK-MadsenChristianRabjerg,"Christian Rabjerg, Madsen",M,nan,"['member', 'minister']",['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-EgelundChristina,"Christina, Egelund",F,nan,['member'],['Liberal Alliance'],['Centre-right to right'],['Unicameralism']
DK-AntoriniChristine,"Christine, Antorini",F,nan,"['member', 'minister']",['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-ThorholmChristina,"Christina, Thorholm",F,nan,['member'],['Radikale Venstre'],['Centre to centre-left'],['Unicameralism']
DK-MelsonChristofferAagaard,"Christoffer Aagaard, Melson",M,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-FrederiksenClausHjort,"Claus Hjort, Frederiksen",M,nan,"['member', 'minister']",['Venstre'],['Centre-right'],['Unicameralism']
DK-HansenClausKvist,"Claus Kvist, Hansen",M,nan,['member'],['Dansk Folkeparti'],['Right'],['Unicameralism']
DK-LarsenJensenClaus,"Claus, Larsen-Jensen",M,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-RugholmDaniel,"Daniel, Rugholm",M,nan,['member'],['Det Konservative Folkeparti'],['Centre-right'],['Unicameralism']
DK-JakobsenDanielToft,"Daniel Toft, Jakobsen",M,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-JørgensenDan,"Dan, Jørgensen",M,nan,"['member', 'minister']",['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-MalkowskiDannyK,"Danny K., Malkowski",M,nan,['member'],['Liberal Alliance'],['Centre-right to right'],['Unicameralism']
DK-FlydtkjærDennis,"Dennis, Flydtkjær",M,nan,['member'],['Dansk Folkeparti'],['Right'],['Unicameralism']
DK-JakobsenDoris,"Doris, Jakobsen",F,nan,['member'],['Siumut'],['Centre-left'],['Unicameralism']
DK-HindborgDorthe,"Dorthe, Hindborg",F,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-UllemoseDorthe,"Dorthe, Ullemose",F,nan,['member'],['Dansk Folkeparti'],['Right'],['Unicameralism']
DK-JoensenEdmund,"Edmund, Joensen",M,nan,['member'],['Sambandsflokkurin'],['Centre-right'],['Unicameralism']
DK-HulgaardEgil,"Egil, Hulgaard",M,nan,['member'],['Det Konservative Folkeparti'],['Centre-right'],['Unicameralism']
DK-AndersenEigil,"Eigil, Andersen",M,nan,['member'],['Socialistisk Folkeparti'],['Centre-left to left'],['Unicameralism']
DK-BonnesenErling,"Erling, Bonnesen",M,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-NørbyEllenTrane,"Ellen Trane, Nørby",F,nan,"['member', 'minister']",['Venstre'],['Centre-right'],['Unicameralism']
DK-TuncerEmrah,"Emrah, Tuncer",M,nan,['member'],['Radikale Venstre'],['Centre to centre-left'],['Unicameralism']
DK-ChristensenErik,"Erik, Christensen",M,nan,['member'],['Socialdemokratiet'],['Centre-left'],['Unicameralism']
DK-LundErik,"Erik, Lund",M,nan,['member'],['Det Konservative Folkeparti'],['Centre-right'],['Unicameralism']
DK-LarsenEsbenLunde,"Esben Lunde, Larsen",M,nan,"['member', 'minister']",['Venstre'],['Centre-right'],['Unicameralism']
DK-FlyvholmEva,"Eva, Flyvholm",F,nan,['member'],['Enhedslisten'],['Left to far-left'],['Unicameralism']
DK-HansenEvaKjer,"Eva Kjer, Hansen",F,nan,"['member', 'minister']",['Venstre'],['Centre-right'],['Unicameralism']
DK-VesselboEyvind,"Eyvind, Vesselbo",M,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
DK-ØktemFatma,"Fatma, Øktem",F,nan,['member'],['Venstre'],['Centre-right'],['Unicameralism']
