name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
CT-AbellaJeannine,"Jeannine, Abella Chica",F,nan,['member'],['Junts per Catalunya'],['Centre-right to right'],['Unicameralism']
CT-AbellánConcepción,"Concepción, Abellán Carretero",F,nan,['member'],['Catalunya en Comú-Podem'],['Left'],['Unicameralism']
CT-AcostaManuel,"Manuel Jesús, Acosta Elías",M,nan,['member'],['VOX'],['Right to far-right'],['Unicameralism']
CT-AlamanyElisenda,"Elisenda, Alamany Gutiérrez",F,nan,['member'],['Catalunya en Comú-Podem'],['Left'],['Unicameralism']
CT-AlbertJordi,"Jordi, Albert Caballero",M,nan,['member'],['Esquerra Republicana de Catalunya'],['Centre-left to left'],['Unicameralism']
CT-AlbiachJèssica,"Jéssica, Albiach Satorres",F,nan,"['head', 'member']",['Catalunya Sí que es Pot'],['Left'],['Unicameralism']
CT-AlbóPere,"Pere, Albó Marlés",M,nan,['member'],['Junts per Catalunya'],['Centre-right to right'],['Unicameralism']
CT-AlcaláJudit,"Judit, Alcalá González",F,nan,['member'],['Partit dels Socialistes de Catalunya - Units per avançar'],[nan],['Unicameralism']
CT-AlonsoMatías,"Matías, Alonso Ruiz",M,nan,['member'],['Ciudadanos'],['Centre-right'],['Unicameralism']
CT-Alonso-CuevillasJaume,"Jaume, Alonso-Cuevillas Sayrol",M,nan,['member'],['Junts per Catalunya'],['Centre-right to right'],['Unicameralism']
CT-AlsinaVictòria,"Victòria, Alsina Burgués",F,nan,"['member', 'minister']",['Junts per Catalunya'],['Centre-right to right'],[]
CT-AmatJaume,"Jaume, Amat Reyero",M,nan,['member'],['Independent'],[nan],[]
CT-AmatOriol,"Oriol, Amat Salas",M,nan,['member'],['Junts pel Sí'],[nan],['Unicameralism']
CT-AmellòHéctor,"Héctor, Amellò Montiu",M,nan,['member'],['Ciudadanos'],['Centre-right'],['Unicameralism']
CT-AmorósOriol,"Oriol, Amorós March",M,nan,['member'],['Junts pel Sí'],[nan],['Unicameralism']
CT-AparicioOscar,"Oscar, Aparicio Pedrosa",M,nan,['member'],['Partit dels Socialistes de Catalunya - Units per avançar'],[nan],['Unicameralism']
CT-AragonésVidal,"Vidal, Aragonés Chicharro",M,nan,['member'],"[""Candidatura d'Unitat Popular""]",['Left to far-left'],['Unicameralism']
CT-AragonèsIrene,"Irene, Aragonès Gràcia",F,nan,['member'],['Esquerra Republicana de Catalunya'],['Centre-left to left'],['Unicameralism']
CT-AragonèsPere,"Pere, Aragonès Garcia",M,nan,"['head', 'member', 'minister']",['Esquerra Republicana de Catalunya'],['Centre-left to left'],['Unicameralism']
CT-ArgimonJosep,"Josep Maria, Argimon Pallàs",M,nan,"['member', 'minister']",['Independent'],[nan],[]
CT-ArrimadasInés,"Inés, Arrimadas García",F,nan,"['head', 'member']",['Ciudadanos'],['Centre-right'],['Unicameralism']
CT-ArtadiElsa,"Elsa, Artadi Vila",F,nan,"['member', 'minister']",['Junts per Catalunya'],['Centre-right to right'],['Unicameralism']
CT-BaigetJordi,"Jordi, Baiget Cantons",M,nan,"['member', 'minister']",['Junts per Catalunya'],['Centre-right to right'],[]
CT-BalaschAntoni,"Antoni, Balasch Parisi",M,nan,['member'],['Junts pel Sí'],[nan],['Unicameralism']
CT-BalseraAna,"Ana, Balsera Marín",F,nan,['member'],['Esquerra Republicana de Catalunya'],['Centre-left to left'],['Unicameralism']
CT-BañosAntonio,"Antonio, Baños Boncompain",M,nan,"['head', 'member']","[""Candidatura d'Unitat Popular""]",['Left to far-left'],['Unicameralism']
CT-BargallóGerard,"Gerard, Bargalló Boivin",M,nan,['member'],['Catalunya Sí que es Pot'],['Left'],['Unicameralism']
CT-BargallóJosep,"Josep, Bargalló Valls",M,nan,"['member', 'minister']",['Esquerra Republicana de Catalunya'],['Centre-left to left'],[]
CT-BaróEva,"Eva, Baró Ramos",F,nan,['member'],['Esquerra Republicana de Catalunya'],['Centre-left to left'],['Unicameralism']
CT-BarraMartin,"Martín Eusebio, Barra López",M,nan,['member'],['Ciudadanos'],['Centre-right'],['Unicameralism']
CT-BarrufetRamona,"Ramona, Barrufet Santacana",F,nan,['member'],['Junts pel Sí'],[nan],['Unicameralism']
CT-BassaDolors,"Dolors, Bassa Coll",F,nan,"['member', 'minister']",['Junts pel Sí'],[nan],['Unicameralism']
CT-BatallaAlbert,"Albert, Batalla Siscart",M,nan,['member'],['Junts pel Sí'],[nan],['Unicameralism']
CT-BatetAlbert,"Albert, Batet Canadell",M,nan,"['head', 'member']",['Junts pel Sí'],[nan],['Unicameralism']
CT-BatlleMariaAntònia,"Maria Antònia, Batlle Andreu",F,nan,['member'],['Junts per Catalunya'],['Centre-right to right'],['Unicameralism']
CT-BayoHelena,"Helena, Bayo Delgado",F,nan,['member'],['Partit dels Socialistes de Catalunya - Units per avançar'],[nan],['Unicameralism']
CT-BayonaAntoni,"Antoni, Bayona Rocamora",M,nan,['member'],['Independent'],[nan],[]
CT-BelGermà,"Germà, Bel Queralt",M,nan,['member'],['Junts pel Sí'],[nan],['Unicameralism']
CT-BelloAndrés,"Andrés, Bello Sanz",M,nan,['member'],['VOX'],['Right to far-right'],['Unicameralism']
CT-BeltránSusana,"Susana, Beltrán García",F,nan,['member'],['Ciudadanos'],['Centre-right'],['Unicameralism']
CT-BenNajat,"Najat Driouech, Ben Moussa",F,nan,['member'],['Esquerra Republicana de Catalunya'],['Centre-left to left'],['Unicameralism']
CT-BertranDavid,"David, Bertran Román",M,nan,['member'],['Ciudadanos'],['Centre-right'],['Unicameralism']
CT-BonvehíDavid,"David, Bonvehí Torras",M,nan,['member'],['Junts pel Sí'],[nan],['Unicameralism']
CT-BorràsLaura,"Laura, Borràs Castanyer",F,nan,"['member', 'minister']",['Junts per Catalunya'],['Centre-right to right'],['Unicameralism']
CT-BorràsMeritxell,"Meritxell, Borràs Solé",F,nan,"['member', 'minister']",['Junts pel Sí'],[nan],[]
CT-BoschAlfred,"Alfred, Bosch Pascual",M,nan,"['member', 'minister']",['Esquerra Republicana de Catalunya'],['Centre-left to left'],[]
