name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
GA-LorenzanaMaríaJesús,"María Jesús, Lorenzana Somoza",F,2020-09-01,"['member', 'minister']",[],[],['Unicameralism']
GA-DíazYolanda,"Yolanda, Díaz Pérez",F,2012-11-16,['member'],['Alternativa Galega de Esquerda'],['Left'],['Unicameralism']
GA-FernándezMónica,"Mónica, Fernández Rodríguez",F,2016-01-19,"['member', 'replacement']",['Alternativa Galega de Esquerda'],['Left'],['Unicameralism']
GA-IglesiasCarmen,"Carmen, Iglesias Sueiro",F,2013-12-16,"['member', 'replacement']",['Alternativa Galega de Esquerda'],['Left'],['Unicameralism']
GA-SollaEva,"Eva, Solla Fernández",F,2012-11-16,"['deputyHead', 'member']","['Alternativa Galega de Esquerda', 'En Marea']","['Left', 'Left']",['Unicameralism']
GA-BeirasXoséManuel,"Xosé Manuel, Beiras Torrado",M,2012-11-16,['member'],['Alternativa Galega de Esquerda'],['Left'],['Unicameralism']
GA-FajardoJuanManuel,"Juan Manuel, Fajardo Recouso",M,2012-11-16,['member'],['Alternativa Galega de Esquerda'],['Left'],['Unicameralism']
GA-RonXoséXabier,"Xosé Xabier, Ron Fernández",M,2012-11-16,['member'],['Alternativa Galega de Esquerda'],['Left'],['Unicameralism']
GA-SánchezAntón,"Antón, Sánchez García",M,2012-11-16,['member'],"['Alternativa Galega de Esquerda', 'En Marea']","['Left', 'Left']",['Unicameralism']
GA-VázquezRamón,"Ramón, Vázquez Díaz",M,2012-11-16,['member'],['Alternativa Galega de Esquerda'],['Left'],['Unicameralism']
GA-FernándezDavid,"David, Fernández Calviño",M,2012-11-16,['member'],['Alternativa Galega de Esquerda'],['Left'],['Unicameralism']
GA-MartínezMaríaConsuelo,"María Consuelo, Martínez García",F,2012-11-16,['member'],['Alternativa Galega de Esquerda'],['Left'],['Unicameralism']
GA-AdánMaríadoCarme,"María do Carme, Adán Villamarín",F,2012-11-16,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-AiraMaríadelCarmen,"María del Carmen, Aira Díaz",F,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-CarreiraIria,"Iria, Carreira Pazos",F,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-FernándezAlexandra,"Alexandra, Fernández Gómez",F,2020-07-12,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-GonzálezMaría,"María, González Albert",F,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-GonzálezMaríadoCarme,"María do Carme, González Iglesias",F,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-PradoMaríaMontserrat,"María Montserrat, Prado Cores",F,2012-11-16,"['deputyHead', 'member']",['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-PazMaríaTareixa,"María Tareixa, Paz Franco",F,2012-11-16,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-PérezRosana,"Rosana, Pérez Fernández",F,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-PontónAnaBelén,"Ana Belén, Pontón Mondelo",F,2012-11-16,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-PresasNoa,"Noa, Presas Bergantiños",F,2016-10-21,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-QueixasMercedes,"Mercedes, Queixas Zas",F,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-RodilOlalla,"Olalla, Rodil Fernández",F,2016-10-21,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-BaráXoséLuis,"Xosé Luis, Bará Torres",M,2016-10-21,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-CastroDaniel,"Daniel, Castro García",M,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-FernándezRamón,"Ramón, Fernández Alfonzo",M,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-JorqueraFranciscoXesús,"Francisco Xesús, Jorquera Caselas",M,2012-11-16,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-LourenzoManuelAntonio,"Manuel Antonio, Lourenzo Sobral",M,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-PomboCosmeEladio,"Cosme Eladio, Pombo Rodríguez",M,2012-11-16,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-RivasJoséLuis,"José Luis, Rivas Cruz",M,2016-10-21,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-RíosPaulo,"Paulo, Ríos Santomé",M,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-RodasDaniel,"Daniel, Rodas Chapela",M,2013-03-23,"['member', 'replacement']",['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-TabarésIago,"Iago, Tabarés Pérez-Piñeiro",M,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-AymerichCarlosIgnacio,"Carlos Ignacio, Aymerich Cano",M,2012-11-16,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-PérezDaniel,"Daniel, Pérez López",M,2020-07-14,['member'],['Bloque Nacionalista Galego'],['Left'],['Unicameralism']
GA-CandedoMaríaDolores,"María Dolores, Candedo Gunturiz",F,2020-02-04,"['member', 'replacement']",['En Marea'],['Left'],['Unicameralism']
GA-CasalFrancisco,"Francisco, Casal Vidal",M,2016-10-21,['member'],"['En Marea', 'Marea Galeguista']","['Left', 'Left']",['Unicameralism']
