name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
PV-AgirreGaritaonandia,"Jasone, Agirre Garitaonandia",F,2017,['member'],[],[],['Unicameralism']
PV-AguirreArizmendi,"Iñaki, Aguirre Arizmendi",M,2013,['member'],[],[],['Unicameralism']
PV-AiartzaZallo,"Jon, Aiartza Zallo",M,nan,['member'],[],[],['Unicameralism']
PV-AldasoroIturbe,"Aitor, Aldasoro Iturbe",M,nan,['member'],[],[],['Unicameralism']
PV-AlonsoMartín,"Alberto, Alonso Martín",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-ÁlvarezMartínez,"Gorka, Álvarez Martínez",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-AnduezaLorenzo,"Eneko, Andueza Lorenzo",M,2011-06-13,['member'],[],[],['Unicameralism']
PV-AnguloGarcía,"Gustavo, Angulo García",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-ArreseOtegi,"Ikoitz, Arrese Otegi",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-ArrizabalagaArruza,"Leixuri, Arrizabalaga Arruza",F,2012-10-20,['member'],[],[],['Unicameralism']
PV-ArrizabalagaOlaizola,"María Eugenia, Arrizabalaga Olaizola",F,1996,['member'],[],[],['Unicameralism']
PV-ArruabarrenaAzpitarte,"Mikel, Arruabarrena Azpitarte",M,2015,['member'],[],[],['Unicameralism']
PV-ArzuagaGumuzio,"Julen, Arzuaga Gumuzio",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-AtutxaSainz,"Jon Andoni, Atutxa Sainz",M,1992,['member'],[],[],['Unicameralism']
PV-BarrioBaroja,"Carmelo, Barrio Baroja",M,1990-10-28,['member'],[],[],['Unicameralism']
PV-BerasaluzeLazkano,"Irune, Berasaluze Lazkano",F,2007,['member'],[],[],['Unicameralism']
PV-BerrojalbizZabala,"Itxaso, Berrojalbiz Zabala",F,nan,['member'],[],[],['Unicameralism']
PV-BlancoDeAngulo,"Eva, Blanco De Angulo",F,nan,['member'],[],[],['Unicameralism']
PV-CasanovaAlonso,"Iker, Casanova Alonso",M,nan,['member'],[],[],['Unicameralism']
PV-CorcueraLeunda,"Susana, Corcuera Leunda",F,1993,['member'],[],[],['Unicameralism']
PV-DíezAntxustegi,"Antxustegi, Díez",M,2019,['member'],[],[],['Unicameralism']
PV-EgibarArtola,"Joseba, Egibar Artola",M,1990-12-18,['member'],[],[],['Unicameralism']
PV-ErkorekaGervasio,"Josu, Erkoreka Gervasio",M,2004-04-12,"['member', 'minister']",[],[],['Unicameralism']
PV-EstarronaElizondo,"Josu, Estarrona Elizondo",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-EtxebarriaAstondoa,"Itxaso, Etxebarria Astondoa",F,2012-10-20,['member'],[],[],['Unicameralism']
PV-EtxebarrietaLegrand,"Oihana, Etxebarrieta Legrand",F,2012-10-20,['member'],[],[],['Unicameralism']
PV-FernandezDeBetoñoSaenzDeLacuesta,"Unai, Fernandez de Betoño Saenz de Lacuesta",M,nan,['member'],[],[],['Unicameralism']
PV-GallasteguiOyarzábal,"Miren, Gallástegui Oyarzábal",F,1995,['member'],[],[],['Unicameralism']
PV-GarciaOrtega,"Pazis, Garcia Ortega",F,nan,['member'],[],[],['Unicameralism']
PV-GardeRamirez,"Maria, Garde Ramirez",F,2012-10-20,['member'],[],[],['Unicameralism']
PV-GarridoKnörr,"Laura, Garrido Knörr",F,1999-07-04,['member'],[],[],['Unicameralism']
PV-GilVegas,"José Manuel, Gil Vegas",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-GonzálezRodríguez,"Isabel, González Rodríguez",F,2012-10-20,['member'],[],[],['Unicameralism']
PV-GordilloPérez,"Luis Ignacio, Gordillo Pérez",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-GorrotxategiAzurmendi,"Miren, Gorrotxategi Azurmendi",F,2012-10-20,['member'],[],[],['Unicameralism']
PV-GrajalesRodríguez,"Unai, Grajales Rodríguez",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-GurrutxagaUranga,"Maialen, Gurrutxaga Uranga",F,2015,['member'],[],[],['Unicameralism']
PV-HernándezHidalgo,"Jon, Hernández Hidalgo",M,2012-10-20,['member'],[],[],['Unicameralism']
PV-IpiñazarMiranda,"Maitane, Ipiñazar Miranda",F,nan,['member'],[],[],['Unicameralism']
PV-IriarteOkiñena,"Maddalen, Iriarte Okiñena",F,2012-10-20,['member'],[],[],['Unicameralism']
PV-IriarteSanVicente,"Ibai, Iriarte San Vicente",M,2012-06-12,['member'],[],[],['Unicameralism']
PV-IturgaizAngulo,"Carlos, Iturgaiz Angulo",M,1991-06-17,['member'],[],[],['Unicameralism']
PV-IturrateIbarra,"Iñigo, Iturrate Ibarra",M,1991-06-17,['member'],[],[],['Unicameralism']
PV-JuezGarmendia,"Eva, Juez Garmendia",F,nan,['member'],[],[],['Unicameralism']
