name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
ES-AdolfoPérezAbellás,"Adolfo, Pérez Abellás",M,nan,['member'],['Partido dos Socialistas de Galicia - Partido Socialista Obrero Español'],[nan],['Lower house']
ES-AdolfoSuárezIllana,"Adolfo, Suárez Illana",M,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AdrianaLastraFernández,"Adriana, Lastra Fernández",F,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AgustínAlmodóbarBarceló,"Agustín, Almodóbar Barceló",M,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AgustínCondeBajén,"Agustín, Conde Bajén",M,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AgustínRosetyFernándezDeCastro,"Agustín, Rosety Fernández Castro",M,nan,['member'],['Vox'],['Right to far-right'],['Lower house']
ES-AgustínZamarrónMoreno,"Agustín, Zamarrón Moreno",M,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AinaVidalSáez,"Aina, Vidal Sáez",F,nan,['member'],['En Comú Podem - Guayem el Canvi'],['Left'],['Lower house']
ES-AitorEstebanBravo,"Aitor, Esteban Bravo",M,nan,['member'],['Euzko Alderdi Jeltzalea-Partido Nacionalista Vasco'],['Centre'],['Lower house']
ES-AlbaVergésiBosch,"Alba, Vergés Bosch",F,nan,[],[],[],[]
ES-AlbertBotranPahissa,"Albert, Botran Pahissa",M,nan,['member'],"[""Candidatura d'Unitat Popular""]",['Left to far-left'],['Lower house']
ES-AlbertRiveraDíaz,"Albert, Rivera Díaz",M,nan,['member'],['Ciudadanos'],['Centre-right'],['Lower house']
ES-AlbertoAsartaCuevas,"Alberto, Asarta Cuevas",M,nan,['member'],['Vox'],['Right to far-right'],['Lower house']
ES-AlbertoCaseroÁvila,"Alberto, Casero Ávila",M,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AlbertoGarzónEspinosa,"Alberto, Garzón Espinosa",M,2015-01-21,"['member', 'minister']","['Izquierda Plural', 'Unidas Podemos']","['Left', 'Left']",['Lower house']
ES-AlbertoMonteroSoler,"Alberto, Montero Soler",M,nan,['member'],['Unidas Podemos'],['Left'],['Lower house']
ES-AlbertoRodríguezRodríguez,"Alberto, Rodríguez Rodríguez",M,nan,['member'],['Unidas Podemos'],['Left'],['Lower house']
ES-AlbertoRuizGallardón,"Alberto, Ruiz-Gallardón",nan,2011-12-22,"['member', 'minister']",[],[],[]
ES-AlejandroAlonsoNúñez,"Alejandro, Alonso Núñez",M,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AlejandroFernándezÁlvarez,"Alejandro, Fernández Álvarez",M,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AlejandroSolerMur,"Alejandro, Soler Mur",M,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AlexandraFernándezGómez,"Alexandra, Fernández Gómez",F,nan,['member'],['En Marea - Podemos - Anova - Esquerda Unida'],[nan],['Lower house']
ES-AlfonsoAlonsoAranegui,"Alfonso, Alonso Aranegui",M,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AlfonsoCandónAdán,"Alfonso, Candón Adán",M,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AlfonsoMartínezBaños,"Alfonso, Martínez Baños",M,nan,[],[],[],[]
ES-AlfonsoMaríaDastisQuecedo,"Alfonso María, Dastis Quecedo",M,2016-11-04,"['member', 'minister']",[],[],['Lower house']
ES-AlfonsoRodríguezGómezDeCelis,"Alfonso, Rodríguez Gómez Celis",M,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AlfonsoSerranoSánchezCapuchino,"Alfonso, Serrano Sánchez-Capuchino",M,nan,[],[],[],[]
ES-AlfredBoschiPascual,"Alfred, Bosch Pascual",M,nan,['member'],['Esquerra Republicana de Catalunya - Reagrupament Independentista'],['Centre-left to left'],['Lower house']
ES-AlfredoSanchoGuardia,"Alfredo, Sancho Guardia",M,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AliciaGarcíaRodríguez,"Alicia, García Rodríguez",F,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AliciaPiquerSancho,"Alicia, Piquer Sancho",F,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AliciaRamosJordán,"Alicia, Ramos Jordán",F,nan,['member'],['En Comú Podem'],['Left'],['Lower house']
ES-AliciaSánchezCamachoPérez,"Alicia, Sánchez-Camacho Pérez",F,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AlmudenaNegroKonrad,"Almudena, Negro Konrad",F,nan,[],[],[],[]
ES-AmparoBotejaraSanz,"Amparo, Botejara Sanz",F,nan,['member'],['Unidas Podemos'],['Left'],['Lower house']
ES-AnVanessaRodríguezConcepción,"An Vanessa, Rodríguez Concepción",F,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AnaBelénFernándezCasero,"Ana Belén, Fernández Casero",F,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AnaBelénTerrónBerbel,"Ana Belén, Terrón Berbel",F,nan,['member'],['Unidas Podemos'],['Left'],['Lower house']
ES-AnaBelénVázquezBlanco,"Ana Belén, Vázquez Blanco",F,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AnaIsabelAlósLópez,"Ana Isabel, Alós López",F,nan,['member'],['Partido Popular - Partido Aragonés'],['Centre-right to right'],['Lower house']
ES-AnaMarcelloSantos,"Ana, Marcello Santos",F,nan,['member'],['Unidas Podemos'],['Left'],['Lower house']
ES-AnaMaríaBeltránVillalba,"Ana María, Beltrán Villalba",F,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AnaMaríaBotellaGómez,"Ana María, Botella Gómez",F,nan,['member'],['Partido Socialista Obrero Español'],['Centre-left'],['Lower house']
ES-AnaMaríaCastañoRey,"Ana María, Castaño Rey",F,nan,['member'],['Izquierda Plural'],['Left'],['Lower house']
ES-AnaMaríaMadrazoDíaz,"Ana María, Madrazo Díaz",F,nan,['member'],['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AnaMaríaOramasGonzálezMoro,"Ana María, Oramas González-Moro",F,2015-01-20,['member'],"['Coalición Canaria-Nueva Canaria-Partido Nacionalista Canario', 'Coalición Canaria - Partido Nacionalista Canario - Nueva Canarias']","['Centre to centre-right', 'Centre to centre-right']",['Lower house']
ES-AnaMaríaPastorJulián,"Ana María, Pastor Julián",F,nan,"['member', 'minister']",['Partido Popular'],['Centre-right to right'],['Lower house']
ES-AnaMaríaSurraSpadea,"Ana María, Surra Spadea",F,nan,['member'],['Esquerra Republicana de Catalunya - Catalunya Sí'],['Centre-left to left'],['Lower house']
