name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
FI-MarkusMustajärvi,"Markus, Mustajärvi",M,2003-03-19,['member'],['Vasemmistoliitto'],['Left'],['Unicameralism']
FI-MariHolopainen,"Mari, Holopainen",F,2019-04-17,['member'],['Vihreä liitto'],['Centre-left'],['Unicameralism']
FI-SamiSavio,"Sami, Savio",M,2015-04-22,['member'],['Perussuomalaiset'],['Right to far-right'],['Unicameralism']
FI-EskoKiviranta,"Esko, Kiviranta",M,2003-03-19,['member'],['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-ReijoHongisto,"Reijo, Hongisto",M,2011-04-20,['member'],"['Perussuomalaiset', 'Sininen tulevaisuus']","['Right to far-right', 'Right']",['Unicameralism']
FI-TuomasKettunen,"Tuomas, Kettunen",M,2019-11-28,['member'],['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-HannuHoskonen,"Hannu, Hoskonen",M,2003-03-19,['member'],['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-RitvaElomaa,"Ritva, Elomaa",F,2011-04-20,['member'],"['Perussuomalaiset', 'Sininen tulevaisuus']","['Right to far-right', 'Right']",['Unicameralism']
FI-TyttiTuppurainen,"Tytti, Tuppurainen",F,2011-04-20,"['member', 'minister']",['Suomen Sosialidemokraattinen Puolue'],['Centre-left'],['Unicameralism']
FI-MerjaMäkisaloRopponen,"Merja, Mäkisalo-Ropponen",F,2011-04-20,['member'],['Suomen Sosialidemokraattinen Puolue'],['Centre-left'],['Unicameralism']
FI-JanneHeikkinen,"Janne, Heikkinen",M,2019-04-17,['member'],['Kansallinen kokoomus'],['Centre-right'],['Unicameralism']
FI-MikkoSavola,"Mikko, Savola",M,2011-04-20,['member'],['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-VeronicaRehnKivi,"Veronica, Rehn-Kivi",F,2016-08-09,['member'],['Suomen ruotsalainen kansanpuolue'],['Centre'],['Unicameralism']
FI-AnoTurtiainen,"Ano, Turtiainen",M,2019-04-17,['member'],"['Edustaja Turtiainen', 'Perussuomalaiset']","['Right to far-right', 'Right to far-right']",['Unicameralism']
FI-MarkoKilpi,"Marko, Kilpi",M,2019-04-17,['member'],['Kansallinen kokoomus'],['Centre-right'],['Unicameralism']
FI-AnneKalmari,"Anne, Kalmari",F,2007-03-21,['member'],['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-PekkaPuska,"Pekka, Puska",M,1987-03-21,['member'],['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-JyrkiYrttiaho,"Jyrki, Yrttiaho",M,2007-03-21,['member'],[],[],['Unicameralism']
FI-TomPackalén,"Tom, Packalén",M,2011-04-20,['member'],['Perussuomalaiset'],['Right to far-right'],['Unicameralism']
FI-JukkaKopra,"Jukka, Kopra",M,2011-04-20,['member'],['Kansallinen kokoomus'],['Centre-right'],['Unicameralism']
FI-KristaKiuru,"Krista, Kiuru",F,2007-03-21,"['member', 'minister']",['Suomen Sosialidemokraattinen Puolue'],['Centre-left'],['Unicameralism']
FI-JaniToivola,"Jani, Toivola",M,2011-04-20,['member'],['Vihreä liitto'],['Centre-left'],['Unicameralism']
FI-SariTanus,"Sari, Tanus",F,2015-04-22,['member'],['Suomen Kristillisdemokraatit'],['Centre-right'],['Unicameralism']
FI-JariLeppä,"Jari, Leppä",M,1999-03-24,"['member', 'minister']",['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-LeaMäkipää,"Lea, Mäkipää",F,1983-03-26,['member'],"['Perussuomalaiset', 'Sininen tulevaisuus', 'Suomen Maaseudun Puolue']","['Right to far-right', 'Right', 'Syncretic politics']",['Unicameralism']
FI-JariKinnunen,"Jari, Kinnunen",M,2021-09-09,['member'],['Kansallinen kokoomus'],['Centre-right'],['Unicameralism']
FI-MarttiMölsä,"Martti, Mölsä",M,2011-04-20,['member'],"['Perussuomalaiset', 'Sininen tulevaisuus']","['Right to far-right', 'Right']",['Unicameralism']
FI-AnttiRantakangas,"Antti, Rantakangas",M,1999-03-24,['member'],['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-JoakimStrand,"Joakim, Strand",M,2015-04-22,['member'],['Suomen ruotsalainen kansanpuolue'],['Centre'],['Unicameralism']
FI-YmpäristöjailmastoministeriKristaMikkonen,"Ympäristö- ja ilmastoministeri Krista, Mikkonen",F,2015-04-22,"['member', 'minister']",['Vihreä liitto'],['Centre-left'],['Unicameralism']
FI-MikaLintilä,"Mika, Lintilä",M,1999-03-24,"['member', 'minister']",['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-KaukoJuhantalo,"Kauko, Juhantalo",M,1979-03-24,"['member', 'minister']",['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-LenitaToivakka,"Lenita, Toivakka",F,2007-03-21,"['member', 'minister']",['Kansallinen kokoomus'],['Centre-right'],['Unicameralism']
FI-SauliNiinistö,"Sauli, Niinistö",nan,nan,[],[],[],[]
FI-KimmoTiilikainen,"Kimmo, Tiilikainen",M,2003-03-19,"['member', 'minister']",['Suomen Keskusta'],['Centre'],['Unicameralism']
FI-JuhaMäenpää,"Juha, Mäenpää",M,2019-04-17,['member'],['Perussuomalaiset'],['Right to far-right'],['Unicameralism']
FI-PiaKauma,"Pia, Kauma",F,2011-04-20,['member'],['Kansallinen kokoomus'],['Centre-right'],['Unicameralism']
