name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
FR-PA-100799,"Bruno, Retailleau",M,nan,[],[],[],[]
FR-PA-103629,"Larcher, Gérard",M,nan,[],[],[],[]
FR-PA-103679,"Didier, Migaud",M,nan,[],[],[],[]
FR-PA-103769,"Emmanuel, Macron",M,nan,[],[],[],[]
FR-PA-104359,"Didier, Guillaume",M,2018-10-17,['member'],[],[],['Lower house']
FR-PA-104549,"François, Patriat",M,nan,[],[],[],[]
FR-PA-104709,"Gilbert, Barbier",M,nan,[],[],[],[]
FR-PA-105779,"Philippe, Adnot",M,nan,[],[],[],[]
FR-PA-106189,"Vincent, Capo-Canellas",M,nan,[],[],[],[]
FR-PA-107289,"Boris, Vallaud",M,2017-06-27,['member'],[],[],[]
FR-PA-107299,"Wolfgang, Schäuble",M,nan,[],[],[],[]
FR-PA-107309,"Trudeau, Justin",M,nan,[],[],[],[]
FR-PA-116089,"Patrick, Kanner",M,2014-08-27,['member'],[],[],['Lower house']
FR-PA-116229,"Pierre, Laurent",M,nan,[],[],[],[]
FR-PA-116609,"Yvon, Collin",M,nan,[],[],[],[]
FR-PA-118019,"Bruno, Retailleau",M,nan,[],[],[],[]
FR-PA-118139,"Claude, Malhuret",M,nan,[],[],[],[]
FR-PA-118319,"Emmanuel, Capus",M,nan,[],[],[],[]
FR-PA-118769,"Jean-Claude, Requier",M,nan,[],[],[],[]
FR-PA-119559,"Patrick, Kanner",M,2014-08-27,['member'],[],[],['Lower house']
FR-PA-119869,"Roland, Courteau",M,nan,[],[],[],[]
FR-PA-120269,"Cécile, Cukierman",F,nan,[],[],[],[]
FR-PA-121199,"Patrick, Kanner",M,2014-08-27,['member'],[],[],['Lower house']
FR-PA-121259,"Marie-Christine, Dalloz",F,2017-06-27,['member'],[],[],[]
FR-PA-121339,"Olivia, Grégoire",F,2017-06-27,['member'],[],[],['Lower house']
FR-PA-121359,"Christophe, Carval",M,nan,[],[],[],[]
FR-PA-121369,"Christophe, Ramaux",M,nan,[],[],[],[]
FR-PA-121379,"François, Dos Santos",M,nan,[],[],[],[]
FR-PA-121399,"Vincent, Drezet",M,nan,[],[],[],[]
FR-PA-121409,"Fabrice, Lenglart",M,nan,[],[],[],[]
FR-PA-121419,"Henri, Sterdyniak",M,nan,[],[],[],[]
FR-PA-121439,"Sophie, Moati",F,nan,[],[],[],[]
FR-PA-121669,"Volodymyr, Zelensky",M,nan,[],[],[],[]
FR-PA-1260,"Marie-Christine, Dalloz",F,2017-06-27,['member'],[],[],[]
FR-PA1008,"Alain, David",M,2017-06-27,['member'],[],[],['Lower house']
FR-PA1012,"Charles, de la Verpillière",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1029,"Bernard, Deflesselles",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1198,"Laurence, Dumont",F,2017-06-21,['member'],[],[],['Lower house']
FR-PA1206,"Nicolas, Dupont-Aignan",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1276,"Michel, Fanget",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1327,"Nicolas, Forissier",M,2017-06-27,['member'],[],[],['Lower house']
FR-PA1498,"Claude, Goasguen",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1567,"Jérôme, Guedj",M,2022-06-22,['member'],[],[],['Lower house']
FR-PA1592,"David, Habib",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1630,"Michel, Herbillon",M,2017-06-27,['member'],[],[],['Lower house']
FR-PA1695,"Christian, Jacob",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1809,"Jérôme, Lambert",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1838,"Jean, Lassalle",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1872,"Jean-Yves, Le Drian",M,2017-06-22,"['head', 'member', 'minister']",[],[],[]
FR-PA1874,"Marc, Le Fur",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA1960,"Maurice, Leroy",M,2010-11-14,['member'],[],[],['Lower house']
FR-PA2086,"Franck, Marlin",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA2150,"Jean-Luc, Mélenchon",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA2155,"Gérard, Menuel",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA223837,"Bernard, Brochand",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA227076,"Jacqueline, Gourault",F,2017-06-22,"['head', 'member', 'minister']",[],[],[]
FR-PA2377,"Bernard, Perrut",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA2449,"Jean-Pierre, Pont",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA2492,"Didier, Quentin",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA2529,"Jean-Luc, Reitzer",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA266774,"Laurent, Furst",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA266776,"Frédéric, Reiss",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA266788,"Pierre, Morel-À-L'Huissier",M,2017-06-27,"['associateMember', 'member']",[],[],['Lower house']
FR-PA266793,"Jean-Yves, Bony",M,2017-06-27,['member'],[],[],['Lower house']
FR-PA266797,"Philippe, Gosselin",M,2017-06-27,['member'],[],[],['Lower house']
FR-PA266808,"Vincent, Rolland",M,2017-06-27,['member'],[],[],['Lower house']
FR-PA267042,"Yannick, Favennec-Bécot",M,2017-06-27,"['associateMember', 'member']",[],[],['Lower house']
FR-PA267200,"Sébastien, Huyghe",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA267204,"Jean-Marie, Sermier",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA267233,"Christophe, Bouillon",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA267241,"Stéphane, Demilly",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA267260,"Bérengère, Poletti",F,2017-06-21,['member'],[],[],['Lower house']
FR-PA267289,"Jean-Pierre, Door",M,2017-06-21,['member'],[],[],['Lower house']
FR-PA267306,"André, Chassaigne",M,2017-06-27,"['head', 'member']",[],[],['Lower house']
FR-PA267318,"Jean-Carles, Grelier",M,2017-06-21,"['associateMember', 'member']",[],[],['Lower house']
