name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
GB-MargaretProsser,"Margaret, Prosser",F,2004-06-11,['member'],['Labour'],['Centre-left'],['Upper house']
GB-JonathanMendelsohn,"Jonathan, Mendelsohn",M,2013-09-05,['member'],['Labour'],['Centre-left'],['Upper house']
GB-AlanMak,"Alan, Mak",M,2015-05-07,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-RuthHunt,"Ruth, Hunt",F,2019-10-16,['member'],['Crossbench'],[nan],[]
GB-JoannaCherry,"Joanna Catherine, Cherry",F,2015-05-07,['member'],['Scottish National Party'],['Centre-left'],['Lower house']
GB-WilliamJordan,"William, Jordan",M,2000-06-05,['member'],['Labour'],['Centre-left'],['Upper house']
GB-MayBlood,"May, Blood",F,1999-07-31,['member'],"['Crossbench', 'Labour']","[nan, 'Centre-left']",['Upper house']
GB-TheresaVilliers,"Theresa Anne, Villiers",F,2005-05-05,"['member', 'minister']",['Conservative'],['Centre-right'],['Lower house']
GB-GeorgeGalloway,"George, Galloway",M,1987-06-11,['member'],"['Respect', 'Independent Labour', 'Labour']","['Left', 'Left', 'Centre-left']",['Lower house']
GB-PaulWhite,"Paul, White",M,1998-07-31,['member'],"['Conservative', 'Non-affiliated']","['Centre-right', nan]",['Upper house']
GB-JohnSpellar,"John Francis, Spellar",M,1982-10-28,['member'],['Labour'],['Centre-left'],['Lower house']
GB-BeebanKidron,"Beeban, Kidron",F,2012-06-25,['member'],['Crossbench'],[nan],['Upper house']
GB-AnnaTurley,"Anna Catherine, Turley",F,2015-05-07,['member'],['Labour'],['Centre-left'],['Lower house']
GB-GeraintDavies,"Geraint Richard, Davies",M,1997-05-01,['member'],['Labour'],['Centre-left'],['Lower house']
GB-TimothyYeo,"Timothy Stephen Kenneth, Yeo",M,1983-06-09,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-PeterHeatonJones,"Peter, Heaton-Jones",M,2015-05-07,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-GrevilleHoward,"Greville Patrick Charles, Howard",M,2004-06-04,['member'],['Conservative'],['Centre-right'],['Upper house']
GB-NicholasHoltam,"Nicholas, Holtam",M,2014-12-08,['member'],['Bishops'],[nan],['Upper house']
GB-DavidLaws,"David Anthony, Laws",M,2001-06-07,['member'],['Liberal Democrat'],['Centre to centre-left'],['Lower house']
GB-JohnGardiner,"John Eric, Gardiner",M,2010-06-23,['member'],"['Conservative', 'Non-affiliated']","['Centre-right', nan]",['Upper house']
GB-EleanorReeves,"Eleanor Claire, Reeves",F,2017-06-08,['member'],['Labour'],['Centre-left'],['Lower house']
GB-RobertMay,"Robert, May",M,2001-07-18,['member'],['Crossbench'],[nan],['Upper house']
GB-EmmaLewellBuck,"Emma Louise, Lewell-Buck",F,2013-05-02,['member'],['Labour'],['Centre-left'],['Lower house']
GB-GillianKeegan,"Gillian, Keegan",F,2017-06-08,"['member', 'minister']",['Conservative'],['Centre-right'],['Lower house']
GB-MatthewWestern,"Matthew Raymond, Western",M,2017-06-08,['member'],['Labour'],['Centre-left'],['Lower house']
GB-MargotAline,"Margot, Aline",F,2011-01-31,['member'],['Labour'],['Centre-left'],['Upper house']
GB-SebastianCoe,"Sebastian, Coe",M,1992-04-09,['member'],['Conservative'],['Centre-right'],"['Lower house', 'Upper house']"
GB-BrendaDean,"Brenda, Dean",F,1993-10-12,['member'],['Labour'],['Centre-left'],['Upper house']
GB-SueEllenBraverman,"Sue-Ellen Cassiana, Braverman",F,2015-05-07,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-KatyClark,"Katy, Clark",F,2005-05-05,['member'],['Labour'],['Centre-left'],['Lower house']
GB-RobertFlello,"Robert Charles Douglas, Flello",M,2005-05-05,['member'],['Labour'],['Centre-left'],['Lower house']
GB-GavinShuker,"Gavin, Shuker",M,2010-05-06,['member'],"['Independent', 'The Independent Group for Change', 'Labour', 'Change UK - The Independent Group']","[nan, 'Centre', 'Centre-left', 'Centre']",['Lower house']
GB-StewartJackson,"Stewart, Jackson",M,2005-05-05,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-MarkEastwood,"Mark Simon, Eastwood",M,2019-12-12,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-RogerGale,"Roger James, Gale",M,1983-06-09,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-MelanieOnn,"Melanie, Onn",F,2015-05-07,['member'],['Labour'],['Centre-left'],['Lower house']
GB-AngelaHarris,"Angela, Harris",F,1999-08-06,['member'],['Liberal Democrat'],['Centre to centre-left'],['Upper house']
GB-DonaldMackay,"Donald, Mackay",M,1995-12-13,['member'],"['Crossbench', 'Conservative', 'Non-affiliated']","[nan, 'Centre-right', nan]",['Upper house']
GB-CharlesDugdale,"Charles, Dugdale",M,1977-05-25,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-JulianSmith,"Julian Richard, Smith",M,2010-05-06,"['member', 'minister']",['Conservative'],['Centre-right'],['Lower house']
GB-JamesGray,"James Whiteside, Gray",M,1997-05-01,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-ThomasBrake,"Thomas Anthony, Brake",M,1997-05-01,['member'],['Liberal Democrat'],['Centre to centre-left'],['Lower house']
GB-ReginaldEmpey,"Reginald, Empey",M,2011-01-15,['member'],"['Conservative', 'Ulster Unionist Party']","['Centre-right', 'Centre-right']",['Upper house']
GB-GarryHart,"Garry Richard Rushby, Hart",M,2004-06-04,['member'],['Labour'],['Centre-left'],['Upper house']
GB-TaniaMathias,"Tania, Mathias",F,2015-05-07,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-LisaForbes,"Lisa, Forbes",F,2019-06-06,['member'],['Labour'],['Centre-left'],['Lower house']
GB-HilaryBenn,"Hilary James, Benn",M,1999-06-10,['member'],['Labour'],['Centre-left'],['Lower house']
GB-LaurenceRobertson,"Laurence Anthony, Robertson",M,1997-05-01,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-JeanBarker,"Jean, Barker",F,1980-02-04,['member'],['Conservative'],['Centre-right'],['Upper house']
GB-ThomasCoke,"Thomas, Coke",M,2021-06-23,['member'],['Conservative'],['Centre-right'],[]
GB-DianaEccles,"Diana Catherine, Eccles",F,1990-05-10,['member'],['Conservative'],['Centre-right'],['Upper house']
GB-JaneHunt,"Jane Marion, Hunt",F,2019-12-12,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-MarkHunter,"Mark James, Hunter",M,2005-07-14,['member'],['Liberal Democrat'],['Centre to centre-left'],['Lower house']
GB-RobertSyms,"Robert Andrew Raymond, Syms",M,1997-05-01,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-TobiasEllwood,"Tobias Martin, Ellwood",M,2005-05-05,['member'],"['Conservative', 'Independent']","['Centre-right', nan]",['Lower house']
GB-LeoDocherty,"Leo, Docherty",M,2017-06-08,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-SallyAnnHart,"Sally-Ann, Hart",F,2019-12-12,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-TomGreatrex,"Tom, Greatrex",M,2010-05-06,['member'],['Labour'],['Centre-left'],['Lower house']
GB-AndrewGriffiths,"Andrew James, Griffiths",M,2010-05-06,['member'],"['Conservative', 'Independent']","['Centre-right', nan]",['Lower house']
GB-ErnestOxburgh,"Ernest Ronald, Oxburgh",M,1999-07-27,['member'],['Crossbench'],[nan],['Upper house']
GB-BrooksNewmark,"Brooks Phillip Victor, Newmark",M,2005-05-05,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-AlanBeith,"Alan, Beith",M,1973-11-08,['member'],"['Liberal', 'Liberal Democrat']","['Centre', 'Centre to centre-left']","['Lower house', 'Upper house']"
GB-DavidRichards,"David, Richards",M,2014-02-24,['member'],['Crossbench'],[nan],['Upper house']
GB-VictoriaAtkins,"Victoria, Atkins",F,2015-05-07,['member'],['Conservative'],['Centre-right'],['Lower house']
GB-AnnMcKechin,"Ann, McKechin",F,2001-06-07,['member'],['Labour'],['Centre-left'],['Lower house']
GB-RobertMaclennan,"Robert, Maclennan",M,1966-03-31,['member'],"['Labour', 'Liberal Democrat', 'Social Democratic Party']","['Centre-left', 'Centre to centre-left', 'Centre-left']","['Lower house', 'Upper house']"
GB-CharlesHendry,"Charles, Hendry",M,1992-04-09,['member'],['Conservative'],['Centre-right'],['Lower house']
