name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
GR-ΝΙΚΟΛΟΠΟΥΛΟΣ_ΙΩΑΝΝΟΥ_ΝΙΚΟΛΑΟΣ,"ΝΙΚΟΛΑΟΣ Nikolaos, ΝΙΚΟΛΟΠΟΥΛΟΣ Nikolopoylos",M,2015-01-25,['member'],['Ανεξάρτητοι έλληνες εθνική πατριωτική δημοκρατική συμμαχία'],['Right'],['Unicameralism']
GR-ΗΓΟΥΜΕΝΙΔΗΣ_ΕΜΜΑΝΟΥΗΛ_ΝΙΚΟΛΑΟΣ,"ΝΙΚΟΛΑΟΣ Nikolaos, ΗΓΟΥΜΕΝΙΔΗΣ Īgoymenidīs",M,2015-09-20,['member'],['Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία'],['Centre-left to left'],['Unicameralism']
GR-ΑΘΑΝΑΣΙΟΣ_ΗΛΙΟΠΟΥΛΟΣ,"ΑΘΑΝΑΣΙΟΣ Athanasios, ΗΛΙΟΠΟΥΛΟΣ Īliopoylos",M,2018-02-28,"['deputyMinister', 'member']",[],[],[]
GR-ΡΙΖΟΥΛΗΣ_ΚΩΝΣΤΑΝΤΙΝΟΥ_ΑΝΔΡΕΑΣ,"ΑΝΔΡΕΑΣ Andreas, ΡΙΖΟΥΛΗΣ Rizoylīs",M,2015-09-20,['member'],['Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία'],['Centre-left to left'],['Unicameralism']
GR-ΣΗΦΑΚΗΣ_ΓΕΩΡΓΙΟΥ_ΙΩΑΝΝΗΣ,"ΙΩΑΝΝΗΣ Iōannīs, ΣΗΦΑΚΗΣ Sīfakīs",M,2015-01-25,['member'],['Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία'],['Centre-left to left'],['Unicameralism']
GR-ΚΑΤΑΝΑΣ_ΛΑΖΑΡΟΥ_ΧΑΡΙΣΙΟΣ,"ΧΑΡΙΣΙΟΣ Charisios, ΚΑΤΑΝΑΣ Katanas",M,2015-01-25,['member'],['Ανεξάρτητοι έλληνες εθνική πατριωτική δημοκρατική συμμαχία'],['Right'],['Unicameralism']
GR-ΒΑΓΙΩΝΑΚΗ_ΝΙΚΟΛΑΟΥ_ΕΥΑΓΓΕΛΙΑ_ΒΑΛΙΑ,"ΕΥΑΓΓΕΛΙΑ Eyaggelia, ΒΑΓΙΩΝΑΚΗ Vagiōnakī",F,2015-01-25,['member'],['Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία'],['Centre-left to left'],['Unicameralism']
GR-ΦΟΡΤΩΜΑΣ_ΑΡΙΣΤΟΤΕΛΗ_ΦΙΛΙΠΠΟΣ,"ΦΙΛΙΠΠΟΣ Filippos, ΦΟΡΤΩΜΑΣ Fortōmas",M,2019-07-07,['member'],['Νέα Δημοκρατία'],['Centre-right'],['Unicameralism']
GR-ΛΑΠΑΒΙΤΣΑΣ_ΑΝΤΩΝΙΟΥ_ΚΩΝΣΤΑΝΤΙΝΟΣ,"ΚΩΝΣΤΑΝΤΙΝΟΣ Kōnstantinos, ΛΑΠΑΒΙΤΣΑΣ Lapavitsas",M,2015-01-25,['member'],"['Λαϊκή Ενότητα', 'Συνασπισμός Ριζοσπαστικής Αριστεράς - Προοδευτική Συμμαχία']","['Left to far-left', 'Centre-left to left']",['Unicameralism']
GR-ΜΕΓΑΛΟΜΥΣΤΑΚΑΣ_ΧΡΗΣΤΟΥ_ΑΝΑΣΤΑΣΙΟΣ,"ΑΝΑΣΤΑΣΙΟΣ Anastasios, ΜΕΓΑΛΟΜΥΣΤΑΚΑΣ Megalomystakas",M,2015-09-20,['member'],['Ένωση Κεντρώων'],['Centre'],['Unicameralism']
