name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
HR-AdamJene,"Jene, Adam",M,2003-12-22,['member'],['nezavisni'],[nan],['Unicameralism']
HR-AdlešičĐurđa,"Đurđa, Adlešič",F,2003-12-22,['member'],"['Hrvatska socijalno-liberalna stranka', 'nezavisni']","['Centre to centre-right', nan]",['Unicameralism']
HR-AhelIrena,"Irena, Ahel",F,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-AntešićZdenko,"Zdenko, Antešić",M,2003-12-22,['member'],['Socijaldemokratska partija Hrvatske'],['Centre-left'],['Unicameralism']
HR-AntičevićMarinovićIngrid,"Ingrid, Antičević Marinović",F,2003-12-22,['member'],['Socijaldemokratska partija Hrvatske'],['Centre-left'],['Unicameralism']
HR-AntunovićŽeljka,"Željka, Antunović",F,2003-12-22,['member'],['Socijaldemokratska partija Hrvatske'],['Centre-left'],['Unicameralism']
HR-ArapovićFranjo,"Franjo, Arapović",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-ArlovićMato,"Mato, Arlović",M,2003-12-22,['member'],['Socijaldemokratska partija Hrvatske'],['Centre-left'],['Unicameralism']
HR-BabićPetričevićZdenka,"Zdenka, Babić-Petričević",F,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BačićStjepan,"Stjepan, Bačić",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BagarićAnto,"Anto, Bagarić",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BagarićIvan,"Ivan, Bagarić",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BajtMarija,"Marija, Bajt",F,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BanacIvo,"Ivo, Banac",M,2003-12-22,['member'],['nezavisni'],[nan],['Unicameralism']
HR-BebićLuka,"Luka, Bebić",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BekavacMarijan,"Marijan, Bekavac",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BitunjacJure,"Jure, Bitunjac",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BorasFlorijan,"Florijan, Boras",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BošnjakovićDražen,"Dražen, Bošnjaković",M,2003-12-22,"['member', 'minister']",['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BrdarićLjubica,"Ljubica, Brdarić",F,2003-12-22,['member'],['Socijaldemokratska partija Hrvatske'],['Centre-left'],['Unicameralism']
HR-BrnadićMirjana,"Mirjana, Brnadić",F,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BućanKajo,"Kajo, Bućan",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-BukićPerica,"Perica, Bukić",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-CaparinKarmela,"Karmela, Caparin",F,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-CrkvenacMato,"Mato, Crkvenac",M,2003-12-22,['member'],['Socijaldemokratska partija Hrvatske'],['Centre-left'],['Unicameralism']
HR-ČačijaMiroslav,"Miroslav, Čačija",M,2003-12-22,['member'],['Hrvatska seljačka stranka'],['Centre to centre-right'],['Unicameralism']
HR-ČehokIvan,"Ivan, Čehok",M,2003-12-22,['member'],"['Hrvatska socijalno-liberalna stranka', 'nezavisni']","['Centre to centre-right', nan]",['Unicameralism']
HR-ČervarLino,"Lino, Červar",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-ČikešLucija,"Lucija, Čikeš",F,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-ČuhnilZdenka,"Zdenka, Čuhnil",F,2003-12-22,['member'],['nezavisni'],[nan],['Unicameralism']
HR-ČuljakTomislav,"Tomislav, Čuljak",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-ĆosićKrešimir,"Krešimir, Ćosić",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-DidovićMirjana,"Mirjana, Didović",F,2003-12-22,['member'],['Socijaldemokratska partija Hrvatske'],['Centre-left'],['Unicameralism']
HR-DorićMiljenko,"Miljenko, Dorić",M,2003-12-22,['member'],['Hrvatska narodna stranka'],['Centre to centre-left'],['Unicameralism']
HR-DrandićValter,"Valter, Drandić",M,2003-12-22,['member'],['Istarski demokratski sabor'],['Centre to centre-left'],['Unicameralism']
HR-DrmićIvan,"Ivan, Drmić",M,2003-12-22,['member'],['Hrvatski demokratski savez Slavonije i Baranje'],['Centre-right'],['Unicameralism']
HR-ĐakićJosip,"Josip, Đakić",M,2003-12-22,['member'],['Hrvatska demokratska zajednica'],['Centre-right'],['Unicameralism']
HR-ĐapićAnto,"Anto, Đapić",M,2003-12-22,['member'],['Hrvatska stranka prava'],['Far-right'],['Unicameralism']
HR-FerenčakSrećko,"Srećko, Ferenčak",M,2003-12-22,['member'],['Hrvatska narodna stranka'],['Centre to centre-left'],['Unicameralism']
HR-FilipovićMirko,"Mirko, Filipović",M,2003-12-22,['member'],['nezavisni'],[nan],['Unicameralism']
