name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
HU-AderJanos,"János, Áder",M,1989,"['head', 'member']",[],[],[]
HU-AghPeter,"Péter, Ágh",M,1999,"['deputyHead', 'member', 'secretaryOfState']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-AlexovLyubomir,"Lyubomir, Alexov",M,2014-05-26,"['deputyHead', 'member']",[],[],[]
HU-AnderBalazs,"Balázs, Ander",M,2010,"['deputyHead', 'member']",['Jobbik Magyarországért Mozgalom'],['Centre-right'],['Unicameralism']
HU-ApatiIstvan,"István, Apáti",M,2005,"['deputyHead', 'head', 'member']","['Jobbik Magyarországért Mozgalom', 'Mi Hazánk Mozgalom']","['Centre-right', 'Far-right']",['Unicameralism']
HU-AradszkiAndras,"András, Aradszki",M,1990,"['deputyHead', 'member', 'secretary', 'secretaryOfState']",['Kereszténydemokrata Néppárt'],['Right'],['Unicameralism']
HU-AratoGergely,"Gergely, Arató",M,2011-10-22,"['deputyHead', 'member', 'secretary']",['Demokratikus Koalíció'],['Centre-left'],['Unicameralism']
HU-AszodiAttila,"Attila, Aszódi",M,2017-06-08,['secretaryOfState'],[],[],[]
HU-AzbejTristan,"Tristan, Azbej",M,2010,"['deputyHead', 'member']",['Kereszténydemokrata Néppárt'],['Right'],[]
HU-BagerGusztav,"Gusztáv, Báger",M,2015-07-06,['member'],[],[],[]
HU-BajaFerenc,"Ferenc, Baja",M,nan,[],[],[],[]
HU-BajkaiIstvan,"István, Bajkai",M,1998,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BakosBernadett,"Bernadett, Bakos",F,2017,"['member', 'secretary']","['Lehet Más a Politika', 'LMP - Magyarország Zöld Pártja']","['Centre to centre-left', 'Centre to centre-left']",['Unicameralism']
HU-BalassaPeter,"Péter, Balassa",M,2009,"['deputyHead', 'member']",['Jobbik Magyarországért Mozgalom'],['Centre-right'],['Unicameralism']
HU-BalczoZoltan,"Zoltán, Balczó",M,2003-10-24,"['deputyHead', 'member']",['Jobbik Magyarországért Mozgalom'],['Centre-right'],['Unicameralism']
HU-BallaGyorgy,"György, Balla",M,2014-05-06,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BallaMihaly,"Mihály Tibor, Balla",M,2014-05-06,"['deputyHead', 'head', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BalogAdam,"Ádám, Balog",M,2013-03-06,"['deputyHead', 'member']",[],[],[]
HU-BalogZoltan,"Zoltán, Balog",M,2014-05-06,"['head', 'member', 'minister']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BanaiPeterBeno,"Péter Benő, Banai",M,2014-06-15,['secretaryOfState'],[],[],[]
HU-BanaTibor,"Tibor, Bana",M,2007,"['deputyHead', 'member']",['Jobbik Magyarországért Mozgalom'],['Centre-right'],['Unicameralism']
HU-BandiGyula,"Gyula, Bándi",M,2017-02-21,['ombudsman'],[],[],['Unicameralism']
HU-BangoneBorbelyIldiko,"Ildikó, Bangóné Borbély",F,2014-05-06,"['deputyHead', 'member']",['Magyar Szocialista Párt'],['Centre-left'],['Unicameralism']
HU-BankiErik,"Erik, Bánki",M,1998-06-18,"['deputyHead', 'head', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BanyaiGabor,"Gábor, Bányai",M,2006-05-16,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BaracskaiJozsef,"József, Baracskai",M,nan,['member'],['Magyar Szocialista Párt'],['Centre-left'],[]
HU-BarandyGergely,"Gergely, Bárándy",M,2003,"['deputyHead', 'member']",['Magyar Szocialista Párt'],['Centre-left'],['Unicameralism']
HU-BarczaAttila,"Attila, Barcza",M,2018-05-08,"['deputyHead', 'member', 'secretary']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BarkocziBalazs,"Balázs, Barkóczi",M,2019,"['deputyHead', 'member']",['Demokratikus Koalíció'],['Centre-left'],['Unicameralism']
HU-BartokiGonczyBalazs,"Balázs, Bartóki-Gönczy",M,2021-12-14,['member'],[],[],[]
HU-BartosMonika,"Mónika, Bartos",F,2010-05-14,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BecsoKaroly,"Károly, Becsó",M,2002,['member'],['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BecsoZsolt,"Zsolt, Becsó",M,1998-06-18,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BedoDavid,"Dávid, Bedő",M,2017-03-04,"['deputyHead', 'member']",['Momentum Mozgalom'],['Centre'],['Unicameralism']
HU-BelovicsErvin,"Ervin, Belovics",M,2000-06-05,"['deputyHead', 'member']",[],[],[]
HU-BencsikJanos,"János, Bencsik",M,2006-05-16,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BenczeJanos,"János, Bencze",M,2008,['member'],['Jobbik Magyarországért Mozgalom'],['Centre-right'],['Unicameralism']
HU-BeneIldiko,"Ildikó, Bene",F,2000,['member'],['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BenkoTibor,"Tibor, Benkő",M,2018-05-18,"['head', 'member', 'minister']",[],[],[]
HU-BerkeBarna,"Barna, Berke",M,2014-06-16,['secretaryOfState'],[],[],[]
HU-BerkiSandor,"Sándor, Berki",M,2017,"['member', 'secretary']",['Párbeszéd Magyarországért'],['Centre-left to left'],['Unicameralism']
HU-BitayMartonOrs,"Márton Örs, Bitay",M,2014-06-15,['secretaryOfState'],[],[],[]
HU-BNagyLaszlo,"László, B. Nagy",M,2014-05-06,['member'],['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BodisJozsef,"József, Bódis",M,2018-07-01,['secretaryOfState'],[],[],[]
HU-BodoSandor,"Sándor, Bodó",M,2011-10-24,"['deputyHead', 'member', 'secretary', 'secretaryOfState']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BokaJanos,"János, Bóka",M,2018-09-01,['secretaryOfState'],[],[],[]
HU-BoldogIstvan,"István, Boldog",M,2010-05-14,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BoldvaiLaszlo,"László, Boldvai",M,nan,[],[],[],[]
HU-BonaZoltan,"Zoltán, Bóna",M,2014-05-06,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BoroczLaszlo,"László, Böröcz",M,2018-05-08,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
HU-BorosAnita,"Anita, Boros",F,2019-09-01,['secretaryOfState'],[],[],[]
HU-BoszAnett,"Anett, Bősz",F,2013-04-27,"['deputyHead', 'head', 'member', 'secretary']",['Magyar Liberális Párt'],['Centre to centre-right'],['Unicameralism']
HU-BotkaLaszlo,"László, Botka",M,1991,['member'],['Magyar Szocialista Párt'],['Centre-left'],[]
HU-BrennerKoloman,"Koloman, Brenner",M,2015,"['deputyHead', 'member']",['Jobbik Magyarországért Mozgalom'],['Centre-right'],['Unicameralism']
HU-BudaiGyula,"Gyula, Budai",M,1998,"['deputyHead', 'member']",['Fidesz – Magyar Polgári Szövetség'],['Right to far-right'],['Unicameralism']
