name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
IS-EinarGudfinnsson1955,"Einar K., Guðfinnsson",M,2014-09-09,['member'],['Sjálfstæðisflokkur'],['Centre to centre-right'],['Unicameralism']
IS-EllertSchram,"Ellert B., Schram",M,2018-12-10,"['member', 'replacement']",['Samfylking'],['Centre-left'],['Unicameralism']
IS-KristjanMoller,"Kristján L., Möller",M,2014-09-09,['member'],['Samfylking'],['Centre-left'],['Unicameralism']
IS-OlafurGrimsson,"Ólafur Ragnar, Grímsson",M,1996-08-01,"['head', 'member']",[],[],[]
IS-PeturBlondal1944,"Pétur H., Blöndal",M,2014-09-09,['member'],['Sjálfstæðisflokkur'],['Centre to centre-right'],['Unicameralism']
IS-SteingrimurSigfusson,"Steingrímur J., Sigfússon",M,2014-09-09,['member'],['Vinstrihreyfingin - grænt framboð'],['Centre-left to left'],['Unicameralism']
IS-OgmundurJonasson,"Ögmundur, Jónasson",M,2014-09-09,['member'],['Vinstrihreyfingin - grænt framboð'],['Centre-left to left'],['Unicameralism']
IS-OssurSkarphedinsson,"Össur, Skarphéðinsson",M,2014-09-09,['member'],['Samfylking'],['Centre-left'],['Unicameralism']
IS-THorgerdurGunnarsdottir,"Þorgerður K., Gunnarsdóttir",F,2016-10-29,"['member', 'minister']",['Viðreisn'],['Centre-right'],['Unicameralism']
IS-THorunnSveinbjarnardottir,"Þórunn, Sveinbjarnardóttir",F,2021-09-25,['member'],[],[],['Unicameralism']
IS-AgustAgustsson,"Ágúst Ólafur, Ágústsson",M,2017-10-28,['member'],['Samfylking'],['Centre-left'],['Unicameralism']
IS-BirgirArmannsson,"Birgir, Ármannsson",M,2014-09-09,['member'],['Sjálfstæðisflokkur'],['Centre to centre-right'],['Unicameralism']
IS-BjarniBenediktsson1970,"Bjarni, Benediktsson",M,2013-05-23,"['member', 'minister']",['Sjálfstæðisflokkur'],['Centre to centre-right'],['Unicameralism']
IS-BjorgvinSigurdsson,"Björgvin G., Sigurðsson",M,2015-10-19,"['member', 'replacement']",['Samfylking'],['Centre-left'],['Unicameralism']
IS-GudlaugurTHordarson,"Guðlaugur Þór, Þórðarson",M,2014-09-09,"['member', 'minister']",['Sjálfstæðisflokkur'],['Centre to centre-right'],['Unicameralism']
IS-HelgiHjorvar,"Helgi, Hjörvar",M,2014-09-09,['member'],['Samfylking'],['Centre-left'],['Unicameralism']
IS-KatrinJuliusdottir,"Katrín, Júlíusdóttir",F,2014-09-09,['member'],['Samfylking'],['Centre-left'],['Unicameralism']
IS-MordurArnason,"Mörður, Árnason",M,2015-06-04,"['member', 'replacement']",['Samfylking'],['Centre-left'],['Unicameralism']
IS-AlfheidurIngadottir,"Álfheiður, Ingadóttir",F,2017-05-08,"['member', 'replacement']",['Vinstrihreyfingin - grænt framboð'],['Centre-left to left'],['Unicameralism']
IS-ArniArnason,"Árni Páll, Árnason",M,2014-09-09,['member'],['Samfylking'],['Centre-left'],['Unicameralism']
IS-GudbjarturHannesson,"Guðbjartur, Hannesson",M,2014-09-09,['member'],['Samfylking'],['Centre-left'],['Unicameralism']
IS-HoskuldurTHorhallsson,"Höskuldur, Þórhallsson",M,2014-09-09,['member'],['Framsóknarflokkur'],['Centre to centre-right'],['Unicameralism']
IS-IllugiGunnarsson,"Illugi, Gunnarsson",M,2013-05-23,"['member', 'minister']",['Sjálfstæðisflokkur'],['Centre to centre-right'],['Unicameralism']
IS-JonGunnarsson,"Jón, Gunnarsson",M,2014-09-09,"['member', 'minister']",['Sjálfstæðisflokkur'],['Centre to centre-right'],['Unicameralism']
IS-KatrinJakobsdottir,"Katrín, Jakobsdóttir",F,2014-09-09,"['member', 'minister']",['Vinstrihreyfingin - grænt framboð'],['Centre-left to left'],['Unicameralism']
IS-KristjanJuliusson,"Kristján Þór, Júlíusson",M,2013-05-23,"['member', 'minister']",['Sjálfstæðisflokkur'],['Centre to centre-right'],['Unicameralism']
IS-OlofNordal,"Ólöf, Nordal",F,2014-12-04,"['member', 'minister']",['Sjálfstæðisflokkur'],['Centre to centre-right'],['Unicameralism']
