name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
IT-BongiornoGiulia,"Giulia, Bongiorno",F,2018-03-23,"['member', 'minister']",[],[],['Upper house']
IT-ParagoneGianluigi,"Gianluigi, Paragone",M,2018-03-23,['member'],[],[],['Upper house']
IT-BocciGianpiero,"Gianpiero, Bocci",M,2013-03-15,"['deputyHead', 'member']",[],[],['Upper house']
IT-PerilliGianluca,"Gianluca, Perilli",M,2018-03-23,"['deputyHead', 'head', 'member']",[],[],['Upper house']
IT-MarcucciAndrea,"Andrea, Marcucci",M,2013-03-15,"['head', 'member']",[],[],['Upper house']
IT-PerosinoMarco,"Marco, Perosino",M,2018-03-23,['member'],[],[],['Upper house']
IT-PepePasquale,"Pasquale, Pepe",M,2018-03-23,['member'],[],[],['Upper house']
IT-PergreffiSimona,"Simona, Pergreffi",F,2018-03-23,['member'],[],[],['Upper house']
IT-PellegriniEmanuele,"Emanuele, Pellegrini",M,2018-03-23,['member'],[],[],['Upper house']
IT-PellegriniMarco,"Marco, Pellegrini",M,2018-03-23,"['deputyHead', 'member']",[],[],['Upper house']
IT-PatuanelliStefano,"Stefano, Patuanelli",M,2018-03-23,"['deputyHead', 'head', 'member', 'minister']",[],[],['Upper house']
IT-PazzagliniGiuliano,"Giuliano, Pazzaglini",M,2018-03-23,['member'],[],[],['Upper house']
IT-AscaniAnna,"Anna, Ascani",F,2018-03-23,"['deputyHead', 'member']",[],[],['Upper house']
IT-PiarulliAngelaAnnaBruna,"Angela Anna Bruna, Piarulli",F,2018-03-23,['member'],[],[],['Upper house']
IT-AlbanoDonatella,"Donatella, Albano",F,2013-03-15,['member'],[],[],['Upper house']
IT-OrtolaniFranco,"Franco, Ortolani",M,2018-03-23,['member'],[],[],['Upper house']
IT-AirolaAlberto,"Alberto, Airola",M,2013-03-15,"['head', 'member']",[],[],['Upper house']
IT-SegreLiliana,"Liliana, Segre",F,2018-01-19,['member'],[],[],['Upper house']
IT-OstellariAndrea,"Andrea, Ostellari",M,2018-03-23,['member'],[],[],['Upper house']
IT-FreniFederico,"Federico, Freni",M,2021-09-24,"['deputyHead', 'member']",[],[],[]
IT-AielloPiero,"Piero, Aiello",M,2013-03-15,['member'],[],[],['Upper house']
IT-NocerinoSimonaNunzia,"Simona Nunzia, Nocerino",F,2018-03-23,"['deputyHead', 'member']",[],[],['Upper house']
IT-OrtisFabrizio,"Fabrizio, Ortis",M,2018-03-23,['member'],[],[],['Upper house']
IT-ArrigoniPaolo,"Paolo, Arrigoni",M,2013-03-15,['member'],[],[],['Upper house']
IT-SposettiUgo,"Ugo, Sposetti",M,2013-03-15,['member'],[],[],['Upper house']
IT-MollameFrancesco,"Francesco, Mollame",M,2018-03-23,['member'],[],[],['Upper house']
IT-AnitoriFabiola,"Fabiola, Anitori",F,2013-03-15,['member'],[],[],['Upper house']
IT-NaturaleGisella,"Gisella, Naturale",F,2018-03-23,['member'],[],[],['Upper house']
IT-AngioniIgnazio,"Ignazio, Angioni",M,2013-03-15,['member'],[],[],['Upper house']
IT-ZellerKarl,"Karl, Zeller",M,2013-03-15,"['head', 'member']",[],[],['Upper house']
IT-MininnoCataldo,"Cataldo, Mininno",M,2018-03-23,['member'],[],[],['Upper house']
IT-AlbertiniGabriele,"Gabriele, Albertini",M,2013-03-15,['member'],[],[],['Upper house']
IT-ModenaFiammetta,"Fiammetta, Modena",F,2018-03-23,['member'],[],[],['Upper house']
IT-PagnoncelliLionelloMarco,"Lionello Marco, Pagnoncelli",M,2013-06-03,['member'],[],[],['Upper house']
IT-LunesuMichelina,"Michelina, Lunesu",F,2019-06-19,['member'],[],[],['Upper house']
IT-PacificoMarinella,"Marinella, Pacifico",F,2018-03-23,['member'],[],[],['Upper house']
