name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
LV-AšeradensArvils,"Arvils, Ašeradens",M,2016-11-23,"['member', 'minister']",[],[],['Unicameralism']
LV-SudrabaInguna,"Inguna, Sudraba",F,2014-11-05,['member'],[],[],['Unicameralism']
LV-CilinskisEinārs,"Einārs, Cilinskis",M,2014-12-04,['member'],[],[],['Unicameralism']
LV-BalodisRingolds,"Ringolds, Balodis",M,2014-12-18,['member'],[],[],['Unicameralism']
LV-BudriķisUldis,"Uldis, Budriķis",M,2018-11-20,['member'],[],[],['Unicameralism']
LV-KreituseLīva,"Līva, Kreituse",F,2022-04-21,['member'],[],[],['Unicameralism']
LV-JansonsJuris,"Juris, Jansons",M,nan,[],[],[],[]
LV-BondarsMārtiņš,"Mārtiņš, Bondars",M,2014-11-05,['member'],[],[],['Unicameralism']
LV-LočmeleRegīna,"Regīna, Ločmele",F,2020-10-01,['member'],[],[],['Unicameralism']
LV-LiepkalnsViesturs,"Viesturs, Liepkalns",M,2021-12-09,['member'],[],[],['Unicameralism']
LV-Lībiņa-EgnereInese,"Inese, Lībiņa-Egnere",F,2014-11-27,['member'],[],[],['Unicameralism']
LV-IesalnieksJānis,"Jānis, Iesalnieks",M,2019-01-31,['member'],[],[],['Unicameralism']
LV-RancānsJuris,"Juris, Rancāns",M,2019-01-31,['member'],[],[],['Unicameralism']
LV-RiekstiņšSandis,"Sandis, Riekstiņš",M,2018-12-13,['member'],[],[],['Unicameralism']
LV-RibakovsIvans,"Ivans, Ribakovs",M,2015-02-19,['member'],[],[],['Unicameralism']
LV-KrēsliņšKārlis,"Kārlis, Krēsliņš",M,2014-11-05,['member'],[],[],['Unicameralism']
LV-ŠmitsDidzis,"Didzis, Šmits",M,2018-12-06,['member'],[],[],['Unicameralism']
LV-PetravičaRamona,"Ramona, Petraviča",F,2018-11-29,"['member', 'minister']",[],[],['Unicameralism']
LV-ĢirģensKaspars,"Kaspars, Ģirģens",M,2019-01-31,['member'],[],[],['Unicameralism']
LV-BoķisInesis,"Inesis, Boķis",M,2014-11-27,['member'],[],[],['Unicameralism']
LV-PuntulisNauris,"Nauris, Puntulis",M,2019-09-26,"['member', 'minister']",[],[],[]
LV-ElksniņšAndrejs,"Andrejs, Elksniņš",M,2014-11-05,['member'],[],[],['Unicameralism']
LV-GobzemsAldis,"Aldis, Gobzems",M,2018-12-06,['member'],[],[],['Unicameralism']
LV-ĶirsisVilnis,"Vilnis, Ķirsis",M,2014-11-05,['member'],[],[],['Unicameralism']
LV-BerkovsDžons,"Džons, Berkovs",M,nan,[],[],[],[]
LV-ViņķeleIlze,"Ilze, Viņķele",F,2014-11-05,"['member', 'minister']",[],[],['Unicameralism']
LV-LatkovskisAinars,"Ainars, Latkovskis",M,2014-11-04,['member'],[],[],['Unicameralism']
LV-MožvilloMāris,"Māris, Možvillo",M,2020-12-02,['member'],[],[],['Unicameralism']
LV-MičerevskisMāris,"Māris, Mičerevskis",M,nan,[],[],[],[]
LV-Reizniece-OzolaDana,"Dana, Reizniece-Ozola",F,2015-11-30,"['member', 'minister']",[],[],['Unicameralism']
LV-IndriksoneIlze,"Ilze, Indriksone",F,2019-01-10,['member'],[],[],['Unicameralism']
LV-Kursīte-PakuleJanīna,"Janīna, Kursīte-Pakule",F,2014-12-11,['member'],[],[],['Unicameralism']
LV-TrupovnieksJānis,"Jānis, Trupovnieks",M,2014-11-27,['member'],[],[],['Unicameralism']
LV-SpolītisVeiko,"Veiko, Spolītis",M,2014-11-27,['member'],[],[],['Unicameralism']
LV-MārtužaEva,"Eva, Mārtuža",F,2020-07-09,['member'],[],[],['Unicameralism']
LV-DūrītisIlmārs,"Ilmārs, Dūrītis",M,2018-12-13,['member'],[],[],['Unicameralism']
LV-ŅikiforovsŅikita,"Ņikita, Ņikiforovs",F,2014-11-05,['member'],[],[],['Unicameralism']
