name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
NL-AnkieBroekers-Knol,"Ankie, Broekers-Knol",F,nan,"['head', 'member', 'secretaryOfState']",['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],['Upper house']
NL-JanAnthonieBruijn,"Jan Anthonie, Bruijn",M,nan,"['head', 'member']",['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],['Upper house']
NL-AnouchkavanMiltenburg,"Anouchka, van Miltenburg",F,nan,"['head', 'member']",['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],['Lower house']
NL-KhadijaArib,"Khadija, Arib",F,nan,"['head', 'member']",['Partij van de Arbeid'],['Centre-left'],['Lower house']
NL-TinyKox,"Tiny, Kox",M,nan,['member'],['Socialistische Partij'],['Left'],[]
NL-SharonDijksma,"Sharon, Dijksma",F,nan,"['member', 'secretaryOfState']",['Partij van de Arbeid'],['Centre-left'],['Lower house']
NL-JuliusTerpstra,"Julius, Terpstra",M,2020-05-20,['member'],['Christen-Democratisch Appèl'],['Centre to centre-right'],['Lower house']
NL-GeertReuten,"Geert, Reuten",M,nan,['member'],['Socialistische Partij'],['Left'],['Upper house']
NL-SybeSchaap,"Sybe, Schaap",M,2007-06-12,['member'],['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],[]
NL-NikoKoffeman,"Niko, Koffeman",M,nan,['member'],['Partij voor de Dieren'],['Left'],[]
NL-WoutervanZandbrink,"Wouter, van Zandbrink",M,nan,['member'],['Partij van de Arbeid'],['Centre-left'],[]
NL-MartinvanBeek,"Martin, van Beek",M,nan,['member'],['Partij voor de Vrijheid'],['Right to far-right'],['Upper house']
NL-TofThissen,"Tof, Thissen",M,nan,['member'],['GroenLinks'],['Centre-left to left'],[]
NL-GerritHoldijk,"Gerrit, Holdijk",M,nan,['member'],['Staatkundig Gereformeerde Partij'],['Right'],[]
NL-PeterEssers,"Peter, Essers",M,nan,['member'],['Christen-Democratisch Appèl'],['Centre to centre-right'],[]
NL-WillemBröcker,"Willem, Bröcker",M,2011-06-07,['member'],['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],[]
NL-RogervanBoxtel,"Roger, van Boxtel",M,nan,['member'],['Democraten 66'],['Centre'],['Upper house']
NL-GomvanStrien,"Gom, van Strien",M,nan,['member'],['Partij voor de Vrijheid'],['Right to far-right'],[]
NL-PeterEster,"Peter, Ester",M,nan,['member'],['ChristenUnie'],['Centre-right'],[]
NL-JanNagel,"Jan, Nagel",M,nan,['member'],['50PLUS'],['Centre'],['Upper house']
NL-Esther-MirjamSent,"Esther-Mirjam, Sent",F,nan,['member'],['Partij van de Arbeid'],['Centre-left'],['Upper house']
NL-WopkeHoekstra,"Wopke, Hoekstra",M,nan,"['head', 'member', 'minister']",['Christen-Democratisch Appèl'],['Centre to centre-right'],"['Upper house', 'Lower house']"
NL-JorisBacker,"Joris, Backer",M,nan,['member'],['Democraten 66'],['Centre'],[]
NL-TuurElzinga,"Tuur, Elzinga",M,nan,['member'],['Socialistische Partij'],['Left'],[]
NL-AndrePostema,"Andre, Postema",M,nan,['member'],['Partij van de Arbeid'],['Centre-left'],['Upper house']
NL-KeesKok,"Kees, Kok",M,nan,['member'],['Partij voor de Vrijheid'],['Right to far-right'],['Upper house']
NL-RonaldPlasterk,"Ronald, Plasterk",M,nan,"['head', 'member', 'minister']",['Partij van de Arbeid'],['Centre-left'],['Lower house']
NL-MarjavanBijsterveldt,"Marja, van Bijsterveldt",F,nan,['member'],['Christen-Democratisch Appèl'],['Centre to centre-right'],['Lower house']
NL-RuudKoole,"Ruud, Koole",M,nan,['member'],['Partij van de Arbeid'],['Centre-left'],[]
NL-HelmiHuijbregts-Schiedon,"Helmi, Huijbregts-Schiedon",F,2007-06-12,['member'],['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],[]
NL-RonMeyer,"Ron, Meyer",M,nan,['member'],['Socialistische Partij'],['Left'],[]
NL-HansEngels,"Hans, Engels",M,nan,['member'],['Democraten 66'],['Centre'],[]
NL-RoelKuiper,"Roel, Kuiper",M,nan,['member'],['ChristenUnie'],['Centre-right'],[]
NL-EricWiebes,"Eric, Wiebes",M,nan,"['head', 'member', 'minister', 'secretaryOfState']",['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],[]
NL-JettaKlijnsma,"Jetta, Klijnsma",M,nan,"['member', 'secretaryOfState']",['Partij van de Arbeid'],['Centre-left'],['Lower house']
NL-RuardGanzevoort,"Ruard, Ganzevoort",M,nan,['member'],['GroenLinks'],['Centre-left to left'],[]
NL-LoekHermans,"Loek, Hermans",M,1977-06-08,['member'],['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],[]
NL-MarleenBarth,"Marleen, Barth",F,nan,['member'],['Partij van de Arbeid'],['Centre-left'],['Upper house']
NL-PetervanDijk,"Peter, van Dijk",M,nan,['member'],['Partij voor de Vrijheid'],['Right to far-right'],['Upper house']
NL-MarijkeScholten,"Marijke, Scholten",F,nan,['member'],['Democraten 66'],['Centre'],[]
NL-HansFranken,"Hans, Franken",M,nan,['member'],['Christen-Democratisch Appèl'],['Centre to centre-right'],[]
NL-Anne-WilDuthler,"Anne-Wil, Duthler",F,2007-06-12,['member'],['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],[]
NL-TobiasReynaers,"Tobias, Reynaers",M,nan,['member'],['Partij voor de Vrijheid'],['Right to far-right'],['Upper house']
NL-NicoSchrijver,"Nico, Schrijver",M,nan,['member'],['Partij van de Arbeid'],['Centre-left'],[]
NL-BobRuers,"Bob, Ruers",M,nan,['member'],['Socialistische Partij'],['Left'],['Upper house']
NL-TinekeStrik,"Tineke, Strik",F,nan,['member'],['GroenLinks'],['Centre-left to left'],[]
NL-IvoOpstelten,"Ivo, Opstelten",M,nan,"['head', 'member', 'minister']",['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],[]
NL-ArdaGerkens,"Arda, Gerkens",F,nan,['member'],['Socialistische Partij'],['Left'],[]
NL-RonaldSörensen,"Ronald, Sörensen",M,nan,['member'],['Partij voor de Vrijheid'],['Right to far-right'],['Upper house']
NL-JetBussemaker,"Jet, Bussemaker",F,nan,"['head', 'member', 'minister']",['Partij van de Arbeid'],['Centre-left'],[]
NL-MarijkeVos,"Marijke, Vos",F,nan,['member'],['GroenLinks'],['Centre-left to left'],['Upper house']
NL-AnneKoning,"Anne, Koning",F,nan,['member'],['Partij van de Arbeid'],['Centre-left'],[]
NL-HenkKamp,"Henk, Kamp",M,nan,"['head', 'member', 'minister']",['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],[]
NL-AlexanderKops,"Alexander, Kops",M,2014-07-08,['member'],['Partij voor de Vrijheid'],['Right to far-right'],['Upper house']
NL-KoosSchouwenaar,"Koos, Schouwenaar",M,nan,['member'],['Volkspartij voor Vrijheid en Democratie'],['Centre-right'],[]
NL-GreetjeDeVries-Leggedoor,"Greetje, De Vries-Leggedoor",F,nan,['member'],['Christen-Democratisch Appèl'],['Centre to centre-right'],[]
NL-AdriDuivesteijn,"Adri, Duivesteijn",M,nan,['member'],['Partij van de Arbeid'],['Centre-left'],[]
