name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
NO-person.INTY,"Ingvil Smines, Tybring-Gjedde",F,nan,"['member', 'minister']",['Fremskrittspartiet'],['Right'],[]
NO-person.AAMH,"Åslaug, Haga",F,nan,"['member', 'minister']",['Senterpartiet'],['Centre'],['Unicameralism']
NO-person.ABIR,"Abid, Raja",M,nan,"['deputyHead', 'member', 'minister', 'replacement']",['Venstre'],['Centre'],['Unicameralism']
NO-person.AEL,"Anne, Enger",F,nan,"['member', 'minister']",['Senterpartiet'],['Centre'],['Unicameralism']
NO-person.AG,"Ansgar, Gabrielsen",M,nan,"['member', 'minister']",['Høyre'],['Centre-right'],['Unicameralism']
NO-person.ALYS,"Audun, Lysbakken",M,nan,"['member', 'minister', 'replacement']",['Sosialistisk Venstreparti'],['Left'],['Unicameralism']
NO-person.ANA,"Anders, Anundsen",M,nan,"['member', 'minister', 'replacement']",['Fremskrittspartiet'],['Right'],['Unicameralism']
NO-person.ANNH,"Anniken, Huitfeldt",F,nan,"['member', 'minister', 'replacement']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
NO-person.ANS,"Anne-Grete, Strøm-Erichsen",F,nan,"['member', 'minister']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
NO-person.ATR,"Anette, Trettebergstuen",F,nan,"['member', 'minister']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
NO-person.BENH,"Bent, Høie",M,nan,"['member', 'minister', 'replacement']",['Høyre'],['Centre-right'],['Unicameralism']
NO-person.BHH,"Bjarne Håkon, Hanssen",M,nan,"['member', 'minister']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
NO-person.BJAG,"Bjørn Arild, Gram",M,nan,"['member', 'minister', 'replacement']",['Senterpartiet'],['Centre'],['Unicameralism']
NO-person.BJRSKJ,"Bjørnar, Skjæran",M,nan,"['member', 'minister']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
NO-person.BJØB,"Børge, Brende",M,nan,"['member', 'minister']",['Høyre'],['Centre-right'],['Unicameralism']
NO-person.BTG,"Bjørn Tore, Godal",M,nan,"['member', 'minister']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
NO-person.BVS,"Bård Vegar, Solhjell",M,nan,"['member', 'minister']",['Sosialistisk Venstreparti'],['Left'],['Unicameralism']
NO-person.BÅH,"Bård, Hoksrud",M,nan,"['member', 'minister', 'replacement']",['Fremskrittspartiet'],['Right'],['Unicameralism']
NO-person.DH,"Dagfinn, Høybråten",M,nan,"['deputyHead', 'member', 'minister']",['Kristelig Folkeparti'],['Centre to centre-right'],['Unicameralism']
NO-person.DTA,"Dag Terje, Andersen",M,nan,"['head', 'member', 'minister', 'replacement']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
NO-person.DU,"Dag-Inge, Ulstein",M,nan,"['member', 'minister', 'replacement']",['Kristelig Folkeparti'],['Centre to centre-right'],['Unicameralism']
NO-person.EAS,"Elisabeth Vik, Aspaker",F,nan,"['member', 'minister', 'replacement']",['Høyre'],['Centre-right'],['Unicameralism']
NO-person.EBE,"Espen Barth, Eide",M,nan,"['member', 'minister']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
NO-person.EEM,"Emilie, Mehl",F,nan,"['member', 'minister']",['Senterpartiet'],['Centre'],['Unicameralism']
NO-person.EGS,"Erik, Solheim",M,nan,"['member', 'minister']",['Sosialistisk Venstreparti'],['Left'],['Unicameralism']
NO-person.EIS,"Einar, Steensnæs",M,nan,"['member', 'minister']",['Kristelig Folkeparti'],['Centre to centre-right'],['Unicameralism']
NO-person.ES,"Erna, Solberg",F,nan,"['head', 'member', 'minister']",['Høyre'],['Centre-right'],['Unicameralism']
NO-person.FBJ,"Frank, Bakke-Jensen",M,nan,"['member', 'minister']",['Høyre'],['Centre-right'],['Unicameralism']
NO-person.GIS,"Geir Inge, Sivertsen",M,nan,"['member', 'minister', 'replacement']",['Høyre'],['Centre-right'],['Unicameralism']
NO-person.GK,"Grete, Knudsen",F,nan,"['member', 'minister']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
NO-person.GME,"Guri, Melby",F,nan,"['member', 'minister', 'replacement']",['Venstre'],['Centre'],['Unicameralism']
NO-person.GR,"Gudmund, Restad",M,nan,"['member', 'minister']",['Senterpartiet'],['Centre'],['Unicameralism']
NO-person.HEA,"Henrik, Asheim",M,nan,"['member', 'minister', 'replacement']",['Høyre'],['Centre-right'],['Unicameralism']
NO-person.HEH,"Heikki Eidsvoll, Holmås",M,nan,"['member', 'minister', 'replacement']",['Sosialistisk Venstreparti'],['Left'],['Unicameralism']
NO-person.HFJ,"Hilde Frafjord, Johnson",F,nan,"['member', 'minister']",['Kristelig Folkeparti'],['Centre to centre-right'],['Unicameralism']
NO-person.HGR,"Heidi Grande, Røys",F,nan,"['member', 'minister']",['Sosialistisk Venstreparti'],['Left'],['Unicameralism']
NO-person.HPED,"Helga, Pedersen",F,nan,"['member', 'minister']",['Arbeiderpartiet'],['Centre-left'],['Unicameralism']
