name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
PL-AdamAbramowicz,"Adam, Abramowicz",M,2015-11-12,['member'],[],[],['Lower house']
PL-AdamAdruszkiewicz,"Adam, Adruszkiewicz",M,nan,[],[],[],[]
PL-AdamAndruszkiewicz,"Adam, Andruszkiewicz",M,2015-11-12,['member'],['Klub Parlamentarny Prawo i Sprawiedliwość'],['Right'],['Lower house']
PL-AdamBielan,"Adam, Bielan",M,2015-11-12,['member'],[],[],['Upper house']
PL-AdamBodnar,"Adam, Bodnar",M,nan,[],[],[],[]
PL-AdamCyrański,"Adam, Cyrański",M,2015-11-12,['member'],['Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska'],[nan],['Lower house']
PL-AdamCzarnecki,"Adam, Czarnecki",M,nan,[],[],[],[]
PL-AdamGawęda,"Adam, Gawęda",M,2015-11-12,['member'],['Klub Parlamentarny Prawo i Sprawiedliwość'],['Right'],"['Lower house', 'Upper house']"
PL-AdamGlapiński,"Adam, Glapiński",M,nan,[],[],[],[]
PL-AdamGuibourgéCzetwertyński,"Adam, Guibourgé-Czetwertyński",M,nan,[],[],[],[]
PL-AdamHamryszczak,"Adam, Hamryszczak",M,nan,[],[],[],[]
PL-AdamKałaska,"Adam, Kałaska",M,2019-05-29,['member'],[],[],['Lower house']
PL-AdamKorol,"Adam, Korol",M,2015-06-16,"['member', 'minister']",['Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska'],[nan],['Lower house']
PL-AdamKwiatkowski,"Adam, Kwiatkowski",M,nan,[],[],[],[]
PL-AdamLipiński,"Adam, Lipiński",M,2015-11-12,['member'],['Klub Parlamentarny Prawo i Sprawiedliwość'],['Right'],['Lower house']
PL-AdamNiedzielski,"Adam, Niedzielski",M,2020-08-26,"['member', 'minister']",[],[],[]
PL-AdamNiemczewski,"Adam, Niemczewski",M,nan,[],[],[],[]
PL-AdamOłdakowski,"Adam, Ołdakowski",M,2015-11-12,['member'],['Klub Parlamentarny Prawo i Sprawiedliwość'],['Right'],['Lower house']
PL-AdamPiotrowski,"Adam, Piotrowski",M,nan,[],[],[],[]
PL-AdamSiwek,"Adam, Siwek",M,nan,[],[],[],[]
PL-AdamSzejnfeld,"Adam, Szejnfeld",M,2019-11-12,['member'],['Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska'],[nan],['Upper house']
PL-AdamSzłapka,"Adam, Szłapka",M,2015-11-12,['member'],['Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska'],[nan],['Lower house']
PL-AdamTochmański,"Adam, Tochmański",M,nan,[],[],[],[]
PL-AdamWoźniak,"Adam, Woźniak",M,nan,[],[],[],[]
PL-AdamaGawęda,"Adama, Gawęda",F,nan,[],[],[],[]
PL-AdamaSzejnfeld,"Adama, Szejnfeld",F,nan,[],[],[],[]
PL-AdamŚnieżek,"Adam, Śnieżek",M,nan,[],[],[],[]
PL-AdrianZandberg,"Adrian, Zandberg",M,2019-11-12,['member'],['Koalicyjny Klub Parlamentarny Lewicy'],['Centre-left to left'],['Lower house']
PL-AgataBorowiec,"Agata, Borowiec",F,2015-11-12,['member'],['Klub Parlamentarny Prawo i Sprawiedliwość'],['Right'],['Lower house']
PL-AgataWojtyszek,"Agata, Wojtyszek",F,2019-11-12,['member'],['Klub Parlamentarny Prawo i Sprawiedliwość'],['Right'],['Lower house']
PL-AgnieszkaDziemianowiczBąk,"Agnieszka, Dziemianowicz-Bąk",F,2019-11-12,['member'],['Koalicyjny Klub Parlamentarny Lewicy'],['Centre-left to left'],['Lower house']
PL-AgnieszkaGorgońKomor,"Agnieszka, Gorgoń-Komor",F,2019-11-12,['member'],['Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska'],[nan],['Upper house']
PL-AgnieszkaGórska,"Agnieszka, Górska",F,2019-11-12,['member'],['Klub Parlamentarny Prawo i Sprawiedliwość'],['Right'],['Lower house']
PL-AgnieszkaHanajczyk,"Agnieszka, Hanajczyk",F,2015-11-12,['member'],['Klub Parlamentarny Platforma Obywatelska – Koalicja Obywatelska'],[nan],['Lower house']
