name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
PT-AbelLimaBaptista,"Abel, Lima Baptista",M,nan,['member'],[],[],['Unicameralism']
PT-AcácioSantosdaFonsecaPinto,"Acácio, Santos Fonseca Pinto",M,nan,['member'],[],[],['Unicameralism']
PT-AdalbertoCamposFernandes,"Adalberto, Campos Fernandes",M,nan,"['member', 'minister']",[],[],[]
PT-AdãoJoséFonsecaSilva,"Adão, José Fonseca Silva",M,nan,['member'],[],[],['Unicameralism']
PT-AdolfoMiguelBaptistaMesquitaNunes,"Adolfo, Miguel Baptista Mesquita Nunes",M,nan,['member'],[],[],['Unicameralism']
PT-AdrianoRafaeldeSousaMoreira,"Adriano, Rafael Sousa Moreira",M,nan,['member'],[],[],['Unicameralism']
PT-AfonsoGonçalvesdaSilvaOliveira,"Afonso, Gonçalves Silva Oliveira",M,nan,['member'],[],[],['Unicameralism']
PT-AgostinhoCorreiaBranquinho,"Agostinho, Correia Branquinho",M,nan,['member'],[],[],[]
PT-AgostinhoGonçalvesAlvesdaSanta,"Agostinho, Gonçalves Alves Santa",M,nan,['member'],[],[],['Unicameralism']
PT-AgostinhoNunodeAzevedoFerreiraLopes,"Agostinho, Nuno Azevedo Ferreira Lopes",M,nan,['member'],[],[],['Unicameralism']
PT-AlbertoAmaroGuedesMachado,"Alberto, Amaro Guedes Machado",M,nan,['member'],[],[],['Unicameralism']
PT-AlbertoBernardesCosta,"Alberto, Bernardes Costa",M,nan,['member'],[],[],['Unicameralism']
PT-AlbertodeSousaMartins,"Alberto, Sousa Martins",M,nan,['member'],[],[],['Unicameralism']
PT-AlbertoJorgeTorresdaSilvaFonseca,"Alberto, Jorge Torres Silva Fonseca",M,nan,['member'],[],[],['Unicameralism']
PT-AlexandraLudomilaRibeiroFernandesLeitão,"Alexandra, Ludomila Ribeiro Fernandes Leitão",F,nan,"['member', 'minister']",[],[],[]
PT-AlexandraNunesEstevesTavaresdeMoura,"Alexandra, Nunes Esteves Tavares Moura",F,nan,['member'],[],[],['Unicameralism']
PT-AlexandreDamascenodaSilvaPoço,"Alexandre, Damasceno Silva Poço",M,nan,['member'],[],[],['Unicameralism']
PT-AlexandreNunoVazBatistadeVieiraeBrito,"Alexandre, Nuno Vaz Batista Vieira Brito",M,2013-02-01,['member'],[],[],[]
PT-AlexandreTiedtkeQuintanilha,"Alexandre, Tiedtke Quintanilha",M,nan,['member'],[],[],['Unicameralism']
PT-AlmaBenedettiCroceRivera,"Alma, Benedetti Croce Rivera",F,nan,['member'],[],[],['Unicameralism']
PT-AltinoBernardoLemosBessa,"Altino, Bernardo Lemos Bessa",M,nan,['member'],[],[],['Unicameralism']
PT-AmadeuAlbertinoMarquesSoaresAlbergaria,"Amadeu, Albertino Marques Soares Albergaria",M,nan,['member'],[],[],['Unicameralism']
PT-AnaCatarinaVeigaSantosMendonçaMendes,"Ana, Catarina Veiga Santos Mendonça Mendes",F,nan,['member'],[],[],['Unicameralism']
PT-AnaCláudiadaCostaPinho,"Ana, Cláudia Costa Pinho",F,nan,['member'],[],[],[]
PT-AnaCristinaCardosoDiasMesquita,"Ana, Cristina Cardoso Dias Mesquita",F,nan,['member'],[],[],['Unicameralism']
PT-AnaElisabeteLabordaOliveira,"Ana, Elisabete Laborda Oliveira",F,nan,['member'],[],[],['Unicameralism']
PT-AnaIsabelCorreiadosSantos,"Ana, Isabel Correia Santos",F,nan,['member'],[],[],['Unicameralism']
PT-AnaIsabeldosSantosFigueiredoPinto,"Ana, Isabel Santos Figueiredo Pinto",F,nan,['member'],[],[],[]
PT-AnaIsabelDragoLobato,"Ana, Isabel Drago Lobato",F,nan,['member'],[],[],['Unicameralism']
PT-AnaLúciaSilvadePassos,"Ana, Lúcia Silva Passos",F,nan,['member'],[],[],['Unicameralism']
PT-AnaManuelJerónimoLopesCorreiaMendesGodinho,"Ana, Manuel Jerónimo Lopes Correia Mendes Godinho",F,nan,"['member', 'minister']",[],[],[]
PT-AnaMargaridaBalseirodeSousaLopes,"Ana, Margarida Balseiro Sousa Lopes",F,nan,['member'],[],[],['Unicameralism']
PT-AnaMariaPereiraAbrunhosaTrigueirosdeAragão,"Ana, Maria Pereira Abrunhosa Trigueiros Aragão",F,nan,"['member', 'minister']",[],[],[]
PT-AnaMariaRibeirodaSilva,"Ana, Maria Ribeiro Silva",F,nan,['member'],[],[],['Unicameralism']
PT-AnaMariaTeodoroJorge,"Ana, Maria Teodoro Jorge",F,nan,['member'],[],[],['Unicameralism']
PT-AnaMiguelMarquesNevesdosSantos,"Ana, Miguel Marques Neves Santos",F,nan,['member'],[],[],['Unicameralism']
