name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
RS-AksentijevićSiniša,"Siniša, Aksentijević",M,1997-12-03,['member'],['Srpska radikalna stranka'],['Far-right'],['Unicameralism']
RS-VlahovićSlobodan,"Slobodan, Vlahović",M,1997-12-03,['member'],['LK'],[nan],['Unicameralism']
RS-StojmenovićJovica,"Jovica, Stojmenović",F,1997-12-03,['member'],['Srpska radikalna stranka'],['Far-right'],['Unicameralism']
RS-StudenStanko,"Stanko, Studen",M,1997-12-03,['member'],['Srpska radikalna stranka'],['Far-right'],['Unicameralism']
RS-SuljevićXemail,"Xemail, Suljević",M,1997-12-03,['member'],['Liga za Šumadiju'],[nan],['Unicameralism']
RS-TodorovićVasilije,"Vasilije, Todorović",M,1997-12-03,['member'],['Srpski pokret obnove'],['Centre-right'],['Unicameralism']
RS-TomčićMilovan,"Milovan, Tomčić",M,1997-12-03,['member'],['LK'],[nan],['Unicameralism']
RS-HinićSlavko,"Slavko, Hinić",M,1997-12-03,['member'],['Srpska radikalna stranka'],['Far-right'],['Unicameralism']
RS-ColićMomčilo,"Momčilo, Colić",M,1997-12-03,['member'],['Srpska radikalna stranka'],['Far-right'],['Unicameralism']
RS-ČokićČolePredrag,"Predrag, Čokić-Čole",M,1997-12-03,['member'],['Srpski pokret obnove'],['Centre-right'],['Unicameralism']
RS-ŠljivićMilomir,"Milomir, Šljivić",M,1997-12-03,['member'],['Srpski pokret obnove'],['Centre-right'],['Unicameralism']
RS-VrbaškiStevan,"Stevan, Vrbaški",M,1997-12-03,['member'],['Srpski pokret obnove'],['Centre-right'],['Unicameralism']
RS-VujanovićBožidar,"Božidar, Vujanović",M,1997-12-03,['member'],['Srpska radikalna stranka'],['Far-right'],['Unicameralism']
RS-VujačićSlobodan,"Slobodan, Vujačić",M,1997-12-03,['member'],['LK'],[nan],['Unicameralism']
RS-VujovićSlavoljub,"Slavoljub, Vujović",M,1997-12-03,['member'],['LK'],[nan],['Unicameralism']
RS-VulovićSrđan,"Srđan, Vulović",M,1997-12-03,['member'],['LK'],[nan],['Unicameralism']
RS-VučićMiroslav,"Miroslav, Vučić",M,1997-12-03,['member'],['Srpska radikalna stranka'],['Far-right'],['Unicameralism']
RS-GavrilovićSvetozar,"Svetozar, Gavrilović",M,1997-12-03,['member'],['LK'],[nan],['Unicameralism']
RS-GligorijevićZoran,"Zoran, Gligorijević",M,1997-12-03,['member'],['LK'],[nan],['Unicameralism']
