name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
SE-Q111655286,"Mubarik Mohamed, Abdirahman",M,nan,['member'],[],[],['Unicameralism']
SE-Q18237073,"Said, Abdu",M,nan,['member'],[],[],['Unicameralism']
SE-Q4933653,"Maria, Abrahamsson",F,nan,['member'],[],[],['Unicameralism']
SE-Q4933704,"Tina, Acketoft",F,nan,['member'],[],[],['Unicameralism']
SE-Q17080318,"Lars, Adaktusson",M,nan,['member'],[],[],['Unicameralism']
SE-Q5542465,"Amir, Adan",M,nan,['member'],[],[],['Unicameralism']
SE-Q3363842,"Christer, Adelsbo",M,nan,['member'],[],[],['Unicameralism']
SE-Q18237118,"Jeff, Ahl",M,2018,['member'],[],[],['Unicameralism']
SE-Q3375059,"Ann-Christin, Ahlberg",F,nan,['member'],[],[],['Unicameralism']
SE-Q5543999,"Anders, Ahlgren",M,nan,['member'],[],[],['Unicameralism']
SE-Q3369220,"Urban, Ahlin",M,nan,['member'],[],[],[]
SE-Q70621742,"Alireza, Akhondi",M,nan,['member'],[],[],['Unicameralism']
SE-Q4118653,"Abir, Al-Sahlani",F,nan,['member'],[],[],['Unicameralism']
SE-Q50353151,"Amne, Ali",F,nan,['member'],[],[],['Unicameralism']
SE-Q59269310,"Ann-Sofie, Alm",F,nan,['member'],[],[],['Unicameralism']
SE-Q5548875,"Jabar, Amin",M,1998,['member'],[],[],['Unicameralism']
SE-Q108525852,"Sofia, Amloh",F,nan,['member'],[],[],['Unicameralism']
SE-Q74566289,"Daniel, Andersson",M,nan,['member'],[],[],['Unicameralism']
SE-Q19724763,"Erik, Andersson",M,nan,['member'],[],[],['Unicameralism']
SE-Q5554868,"Jan R., Andersson",M,nan,['member'],[],[],['Unicameralism']
SE-Q5554920,"Johan, Andersson",M,nan,['member'],[],[],['Unicameralism']
SE-Q59387749,"Jonas, Andersson",M,nan,['member'],[],[],['Unicameralism']
SE-Q58837098,"Jonas, Andersson",M,nan,['member'],[],[],['Unicameralism']
SE-Q5555097,"Jörgen, Andersson",M,nan,['member'],[],[],['Unicameralism']
