name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
SI-AnderličAnton,"Anton, Anderlič",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-AntončičBoštjan,"Boštjan, Antončič",M,nan,[],[],[],[]
SI-AntončičVojko,"Vojko, Antončič",M,nan,[],[],[],[]
SI-ApohalVučkovićLidija,"Lidija, Apohal Vučković",F,nan,[],[],[],[]
SI-ArehLavričSonja,"Sonja, Areh Lavrič",F,2000-10-27,['member'],['Slovenska nacionalna stranka'],['Right to far-right'],['Lower house']
SI-AvšičJože,"Jože, Avšič",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-BabičBojan,"Bojan, Babič",M,nan,[],[],[],[]
SI-BajukAndrej,"Andrej, Bajuk",M,2000-10-27,['member'],['Nova Slovenija – Krščanski demokrati'],['Centre-right'],['Lower house']
SI-BalohPlahutnikSaša,"Saša, Baloh Plahutnik",M,nan,[],[],[],[]
SI-BandeljElido,"Elido, Bandelj",M,nan,[],[],[],[]
SI-BandeljMirko,"Mirko, Bandelj",M,nan,[],[],[],[]
SI-BanovecTomaž,"Tomaž, Banovec",M,nan,[],[],[],[]
SI-BarovičBogdan,"Bogdan, Barovič",M,2000-10-27,['member'],['Slovenska nacionalna stranka'],['Right to far-right'],['Lower house']
SI-BattelliRoberto,"Roberto, Battelli",M,2000-10-27,['member'],['nan'],['nan'],['Lower house']
SI-BavčarIgor,"Igor, Bavčar",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-BaškovičCiril,"Ciril, Baškovič",M,nan,[],[],[],[]
SI-BednarikJakob,"Jakob, Bednarik",M,nan,[],[],[],[]
SI-BedračGorazd,"Gorazd, Bedrač",M,nan,[],[],[],[]
SI-BekešPeter,"Peter, Bekeš",M,nan,[],[],[],[]
SI-BelopavlovičNataša,"Nataša, Belopavlovič",F,nan,[],[],[],[]
SI-BerkVesna,"Vesna, Berk",F,nan,[],[],[],[]
SI-BernikJožef,"Jožef, Bernik",M,2000-10-27,['member'],['Nova Slovenija – Krščanski demokrati'],['Centre-right'],['Lower house']
SI-BeuermannRichard,"Richard, Beuermann",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-BevkSamo,"Samo, Bevk",M,2000-10-27,['member'],"['Socialni demokrati', 'Združena lista socialnih demokratov']","['Centre-left', 'Centre-left']",['Lower house']
SI-BečanIrena,"Irena, Bečan",F,nan,[],[],[],[]
SI-BitencPengovTina,"Tina, Bitenc Pengov",F,nan,[],[],[],[]
SI-BizjakIvan,"Ivan, Bizjak",M,nan,[],[],[],[]
SI-BogatajMiran,"Miran, Bogataj",M,nan,[],[],[],[]
SI-BohincRado,"Rado, Bohinc",M,2000-10-27,['member'],['Združena lista socialnih demokratov'],['Centre-left'],['Lower house']
SI-BožičIvan,"Ivan, Božič",M,2000-10-27,['member'],"['SLS+SKD Slovenska ljudska stranka', 'Slovenska ljudska stranka']","['Centre-right', 'Centre-right']",['Lower house']
SI-BrejcMihael,"Mihael, Brejc",M,2000-10-27,['member'],"['Socialdemokratska stranka Slovenije', 'Slovenska demokratska stranka']","['Right', 'Right']",['Lower house']
SI-BrenčičStanislav,"Stanislav, Brenčič",M,2000-10-27,['member'],"['SLS+SKD Slovenska ljudska stranka', 'Slovenska ljudska stranka']","['Centre-right', 'Centre-right']",['Lower house']
SI-BugaričBojan,"Bojan, Bugarič",M,nan,[],[],[],[]
SI-BukovecIvan,"Ivan, Bukovec",M,nan,[],[],[],[]
SI-ButFranc,"Franc, But",M,nan,[],[],[],[]
SI-ButolenAnton,"Anton, Butolen",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-CerarZdenka,"Zdenka, Cerar",F,nan,[],[],[],[]
SI-CimpermanJanez,"Janez, Cimperman",M,2000-10-27,['member'],"['Socialdemokratska stranka Slovenije', 'Slovenska demokratska stranka']","['Right', 'Right']",['Lower house']
SI-CoxPatrick,"Patrick, Cox",M,nan,[],[],[],[]
SI-CukjatiFrance,"France, Cukjati",M,2000-10-27,['member'],"['Socialdemokratska stranka Slovenije', 'Slovenska demokratska stranka']","['Right', 'Right']",['Lower house']
SI-CviklMilanMartin,"Milan Martin, Cvikl",M,2004-10-22,['member'],"['Liberalna demokracija Slovenije', 'Socialni demokrati']","['Centre to centre-left', 'Centre-left']",['Lower house']
SI-DelakAnton,"Anton, Delak",M,2000-10-27,['member'],['Demokratična stranka upokojencev Slovenije'],['Centre to centre-left'],['Lower house']
SI-DeželakJanko,"Janko, Deželak",M,nan,[],[],[],[]
SI-DiaciMarko,"Marko, Diaci",M,2000-10-27,['member'],"['Nepovezani poslanci', 'Stranka mladih Slovenije']","[nan, 'Centre-left']",['Lower house']
SI-DimovskiVlado,"Vlado, Dimovski",M,nan,[],[],[],[]
SI-DobovšekBojan,"Bojan, Dobovšek",M,2014-08-01,['member'],"['Poslanska skupina nepovezanih poslancev', 'Nepovezani poslanci', 'Stranka Mira Cerarja', 'Stranka modernega centra']","[nan, nan, 'Centre to centre-left', 'Centre to centre-left']",['Lower house']
SI-DolčičTonček,"Tonček, Dolčič",M,nan,[],[],[],[]
SI-DrnovšekJanez,"Janez, Drnovšek",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-DrobničJanez,"Janez, Drobnič",M,2000-10-27,['member'],"['Nova Slovenija – Krščanski demokrati', 'Nepovezani poslanci']","['Centre-right', nan]",['Lower house']
SI-DžubanGeza,"Geza, Džuban",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-EngelmanAndrej,"Andrej, Engelman",M,nan,[],[],[],[]
SI-ErjavecEmil,"Emil, Erjavec",M,nan,[],[],[],[]
SI-ErjavecKarlViktor,"Karl Viktor, Erjavec",M,2010-02-10,"['deputyHead', 'member', 'minister']",['Demokratična stranka upokojencev Slovenije'],['Centre to centre-left'],['Lower house']
SI-FabjanAndrej,"Andrej, Fabjan",M,2000-10-27,['member'],"['SLS+SKD Slovenska ljudska stranka', 'Slovenska ljudska stranka']","['Centre-right', 'Centre-right']",['Lower house']
SI-FalknerJože,"Jože, Falkner",M,nan,[],[],[],[]
SI-FerležMarija,"Marija, Ferlež",F,nan,[],[],[],[]
SI-FrankarGašper,"Gašper, Frankar",M,nan,[],[],[],[]
SI-FrasDarko,"Darko, Fras",M,nan,[],[],[],[]
SI-GaberSlavko,"Slavko, Gaber",M,2000-10-27,['member'],"['Liberalna demokracija Slovenije', 'Nepovezani poslanci']","['Centre to centre-left', nan]",['Lower house']
SI-GantarPavel,"Pavel, Gantar",M,2004-10-22,['member'],"['Liberalna demokracija Slovenije', 'Poslanska skupina nepovezanih poslancev', 'Nepovezani poslanci', 'Zares - nova politika', 'Zares - socialno liberalni']","['Centre to centre-left', nan, nan, 'Centre-left', 'Centre-left']",['Lower house']
SI-GaspariMitja,"Mitja, Gaspari",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-GaspariniMario,"Mario, Gasparini",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-GerenčerAndrej,"Andrej, Gerenčer",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-GermičLjubo,"Ljubo, Germič",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-GermovšekSiniša,"Siniša, Germovšek",M,2000-10-27,['member'],"['Socialdemokratska stranka Slovenije', 'Slovenska demokratska stranka']","['Right', 'Right']",['Lower house']
SI-GečMojca,"Mojca, Geč",F,nan,[],[],[],[]
SI-GlobačnikBojana,"Bojana, Globačnik",F,nan,[],[],[],[]
SI-GolobIgnac,"Ignac, Golob",M,nan,[],[],[],[]
SI-GolobRobert,"Robert, Golob",M,nan,[],[],[],[]
SI-GorecAlenka,"Alenka, Gorec",F,nan,[],[],[],[]
SI-GorecNevenka,"Nevenka, Gorec",F,nan,[],[],[],[]
SI-GračnerZoran,"Zoran, Gračner",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-GrimsBranko,"Branko, Grims",M,2004-10-22,['member'],['Slovenska demokratska stranka'],['Right'],['Lower house']
SI-GrizoldAnton,"Anton, Grizold",M,nan,[],[],[],[]
SI-GroznikKatarina,"Katarina, Groznik",F,nan,[],[],[],[]
SI-GrošeljLeopold,"Leopold, Grošelj",M,2000-10-27,['member'],['Združena lista socialnih demokratov'],['Centre-left'],['Lower house']
SI-GrošeljZoran,"Zoran, Grošelj",M,nan,[],[],[],[]
SI-GyörkösJózsef,"József, Györkös",M,nan,[],[],[],[]
SI-HajdinjakMetka,"Metka, Hajdinjak",F,nan,[],[],[],[]
SI-HanžekMatjaž,"Matjaž, Hanžek",M,2014-08-01,['member'],"['Združena levica', 'Levica', 'Nepovezani poslanci']","['Left', 'Left', nan]",['Lower house']
SI-HanželSlavko,"Slavko, Hanžel",M,nan,[],[],[],[]
SI-HorvatFranc,"Franc, Horvat",M,2000-10-27,['member'],"['Socialni demokrati', 'Združena lista socialnih demokratov']","['Centre-left', 'Centre-left']",['Lower house']
SI-HvalaMarko,"Marko, Hvala",M,nan,[],[],[],[]
SI-IlcJože,"Jože, Ilc",M,nan,[],[],[],[]
SI-IvankovičPavo,"Pavo, Ivankovič",M,nan,[],[],[],[]
SI-JakičRoman,"Roman, Jakič",M,2000-10-27,['member'],"['Liberalna demokracija Slovenije', 'Pozitivna Slovenija']","['Centre to centre-left', 'Centre to centre-left']",['Lower house']
SI-JanZoltan,"Zoltan, Jan",M,nan,[],[],[],[]
SI-JancBranko,"Branko, Janc",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-JanšaJanez,"Ivan Janez, Janša",M,2000-10-27,"['head', 'member']","['Socialdemokratska stranka Slovenije', 'Slovenska demokratska stranka']","['Right', 'Right']",['Lower house']
SI-JarcIztok,"Iztok, Jarc",M,nan,[],[],[],[]
SI-JarcMatjaž,"Matjaž, Jarc",M,nan,[],[],[],[]
SI-JazbecMilan,"Milan, Jazbec",M,nan,[],[],[],[]
SI-JegličTomažMarijan,"Tomaž Marijan, Jeglič",M,nan,[],[],[],[]
SI-JelinčičPlemenitiZmago,"Zmago, Jelinčič",M,2000-10-27,['member'],['Slovenska nacionalna stranka'],['Right to far-right'],['Lower house']
SI-JenullHinko,"Hinko, Jenull",M,nan,[],[],[],[]
SI-JeričMiran,"Miran, Jerič",M,2000-10-27,['member'],['Liberalna demokracija Slovenije'],['Centre to centre-left'],['Lower house']
SI-JerovšekJožef,"Jožef, Jerovšek",M,2000-10-27,['member'],"['Socialdemokratska stranka Slovenije', 'Slovenska demokratska stranka']","['Right', 'Right']",['Lower house']
SI-JurakGregor,"Gregor, Jurak",M,nan,[],[],[],[]
