name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
TR-AbdulAhat.Andican,"Abdul Ahat, Andican",M,1996-01-08,"['head', 'member', 'minister']","['İYİ Parti', 'Milliyetçi Hareket Partisi']","['Centre-right', 'Right to far-right']",['Unicameralism']
TR-Abdulahat.Arvas,"Abdulahat, Arvas",M,2018-01-01,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdulhamit.Gül,"Abdulhamit, Gül",M,2010-11-01,"['head', 'member', 'minister']","['Adalet ve Kalkınma Partisi', 'Halkın Sesi Partisi']","['Right', 'Centre-right']",['Unicameralism']
TR-Abdulkadir.Akgül,"Abdulkadir, Akgül",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdulkadir.Karaduman,"Abdulkadir, Karaduman",M,2018-01-01,['member'],['Saadet Partisi'],['Right to far-right'],['Unicameralism']
TR-Abdulkadir.Yüksel,"Abdulkadir, Yüksel",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdulkadir.Özel,"Abdulkadir, Özel",M,2018-01-01,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-AbdulkadirEmin.Önen,"Abdulkadir Emin, Önen",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdulkerim.Gök,"Abdulkerim, Gök",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdullah.Ağralı,"Abdullah, Ağralı",M,2015-01-01,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdullah.Başcı,"Abdullah, Başcı",M,2001-08-14,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdullah.Doğru,"Abdullah, Doğru",M,2018-01-01,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdullah.Gül,"Abdullah, Gül",M,1991-11-14,"['head', 'member', 'minister']",[],[],['Unicameralism']
TR-Abdullah.Güler,"Abdullah, Güler",M,2018-01-01,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdullah.Koç,"Abdullah, Koç",M,2018-01-01,['member'],['Halkların Demokratik Partisi'],['Centre-left to left'],['Unicameralism']
TR-Abdullah.Zeydan,"Abdullah, Zeydan",M,nan,['member'],['Halkların Demokratik Partisi'],['Centre-left to left'],['Unicameralism']
TR-Abdullah.Çalışkan1974,"Abdullah, Çalışkan",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdullah.Öztürk,"Abdullah, Öztürk",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-AbdullahLevent.Tüzel,"Abdullah Levent, Tüzel",M,nan,['member'],['Emek Partisi'],['Far-left'],['Unicameralism']
TR-AbdullahNejat.Koçer,"Abdullah Nejat, Koçer",M,2011-01-01,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdurrahim.Akdağ,"Abdurrahim, Akdağ",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdurrahman.Başkan,"Abdurrahman, Başkan",M,2003-01-01,['member'],['Milliyetçi Hareket Partisi'],['Right to far-right'],['Unicameralism']
TR-Abdurrahman.Tutdere,"Abdurrahman, Tutdere",M,1998-01-01,['member'],['Cumhuriyet Halk Partisi'],['Centre-left'],['Unicameralism']
TR-Abdurrahman.Öz,"Abdurrahman, Öz",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Abdüllatif.Şener,"Abdüllatif, Şener",M,1991-11-14,"['head', 'member', 'minister']",['Cumhuriyet Halk Partisi'],['Centre-left'],['Unicameralism']
TR-AdaletKomisyonuSözcüsuAbdullahGüler,"Adalet Komisyonu Sözcüsu Abdullah, Güler",nan,nan,[],[],[],[]
TR-AdaletKomisyonuSözcüsuOrhanKırcalı,"Adalet Komisyonu Sözcüsu Orhan, Kırcalı",nan,nan,[],[],[],[]
TR-Adem.Geveri,"Adem, Geveri",M,nan,['member'],['Halkların Demokratik Partisi'],['Centre-left to left'],['Unicameralism']
TR-Adem.Tatlı,"Adem, Tatlı",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Adem.Yeşildal,"Adem, Yeşildal",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Adil.Karaismailoğlu,"Adil, Karaismailoğlu",M,nan,"['head', 'member', 'minister']",['Adalet ve Kalkınma Partisi'],['Right'],[]
TR-Adil.Zozani,"Adil, Zozani",M,nan,['member'],['Halkların Demokratik Partisi'],['Centre-left to left'],['Unicameralism']
TR-Adil.Çelik,"Adil, Çelik",M,2006-01-01,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Adnan.Boynukara,"Adnan, Boynukara",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Adnan.Günnar,"Adnan, Günnar",M,2007-01-01,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-Adnan.Keskin,"Adnan, Keskin",M,nan,"['head', 'member', 'minister']",['Cumhuriyet Halk Partisi'],['Centre-left'],['Unicameralism']
TR-Adnan.Yılmaz,"Adnan, Yılmaz",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
TR-AdnanSelçuk.Mızraklı,"Adnan Selçuk, Mızraklı",M,nan,['member'],['Halkların Demokratik Partisi'],['Centre-left to left'],['Unicameralism']
TR-AdnanŞefik.Çirkin,"Adnan Şefik, Çirkin",M,nan,['member'],"['İYİ Parti', 'Milliyetçi Hareket Partisi']","['Centre-right', 'Right to far-right']",['Unicameralism']
TR-Afif.Demirkıran,"Afif, Demirkıran",M,nan,['member'],['Adalet ve Kalkınma Partisi'],['Right'],['Unicameralism']
