name_id,name,gender,term_start,roles,parties,party_orientation,legislative_branch
UA-ЄвгенІвановичКирильчук.1940,"Євген Jevhen, Іванович Кирильчук Ivanovyč Kyryl'čuk",M,2002-05-14,"['member', 'representative']","['Всеукраїнське об\'єднання ""Батьківщина""', 'Виборчий блок політичних партій ""Виборчий блок Юлії Тимошенко""']","['Centre to centre-left', 'Big tent']",['Unicameralism']
UA-ЄвгенІвановичМельник.1956,"Євген Jevhen, Іванович Мельник Ivanovyč Mel'nyk",M,2012-12-12,"['member', 'representative']","[""Всеукраїнське об'єднання «Свобода»""]",['Right to far-right'],['Unicameralism']
UA-ЄвгенІвановичТалишев.1952,"Євген Jevhen, Іванович Талишев Ivanovyč Talyšev",M,2012-03-13,"['member', 'representative']",['Партія Наталії Королевської «Україна – Вперед!»'],['Centre-left'],['Unicameralism']
UA-ЄвгенІгоровичЗімін.1960,"Євген Jevhen, Ігорович Зімін Ihorovyč Zimin",M,2006-05-25,"['member', 'representative']","['Всеукраїнське об\'єднання ""Батьківщина""']",['Centre to centre-left'],['Unicameralism']
UA-ЄвгенІгоровичЦарьков.1974,"Євген Jevhen, Ігорович Царьков Ihorovyč Car'kov",M,2008-12-23,"['member', 'representative']",['Комуністична партія України'],['Far-left'],['Unicameralism']
UA-ЄвгенАльфредовичЧервоненко.1959,"Євген Jevhen, Альфредович Червоненко Al'fredovyč Červonenko",M,2002,"['member', 'minister', 'representative']","['Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна""']",['Centre-right'],['Unicameralism']
UA-ЄвгенВасильовичЛапін.1950,"Євген Jevhen, Васильович Лапін Vasyl'ovyč Lapin",M,2002-05-14,"['member', 'representative']","['Політична партія ""Партія регіонів""', 'Виборчий блок політичних партій ""За Єдину Україну!""']","['Centre', 'Centre']",['Unicameralism']
UA-ЄвгенВасильовичМармазов.1938,"Євген Jevhen, Васильович Мармазов Vasyl'ovyč Marmazov",M,2006-05-25,"['member', 'representative']",['Комуністична партія України'],['Far-left'],['Unicameralism']
UA-ЄвгенВасильовичПетруняк.1977,"Євген Jevhen, Васильович Петруняк Vasyl'ovyč Petrunjak",M,2019-08-29,['member'],[],[],['Unicameralism']
UA-ЄвгенВасильовичФіліндаш.1977,"Євген Jevhen, Васильович Філіндаш Vasyl'ovyč Filindaš",M,2005-09-06,"['member', 'representative']",['Соціалістична партія України'],['Left'],['Unicameralism']
UA-ЄвгенВолодимировичКорнійчук.1966,"Євген Jevhen, Володимирович Корнійчук Volodymyrovyč Kornijčuk",M,2006-05-25,"['member', 'representative']","['Всеукраїнське об\'єднання ""Батьківщина""']",['Centre to centre-left'],['Unicameralism']
UA-ЄвгенВолодимировичРадченко.1973,"Євген Jevhen, Володимирович Радченко Volodymyrovyč Radčenko",M,nan,[],[],[],[]
UA-ЄвгенВіталійовичБалицький.1969,"Євген Jevhen, Віталійович Балицький Vitalijovyč Balyc'kyj",M,2012-12-12,"['member', 'representative']","['Політична партія ""Партія регіонів""']",['Centre'],['Unicameralism']
UA-ЄвгенГеннадійовичЯковенко.1965,"Євген Jevhen, Геннадійович Яковенко Hennadijovyč Jakovenko",M,2019-08-29,['member'],[],[],['Unicameralism']
UA-ЄвгенГригоровичКарташов.1942,"Євген Jevhen, Григорович Карташов Hryhorovyč Kartašov",M,2012-12-12,"['member', 'representative']","['Політична партія ""Партія регіонів""']",['Centre'],['Unicameralism']
UA-ЄвгенГригоровичУдод.1973,"Євген Jevhen, Григорович Удод Hryhorovyč Udod",M,nan,[],[],[],[]
UA-ЄвгенДмитровичДобряк.1973,"Євген Jevhen, Дмитрович Добряк Dmytrovyč Dobrjak",M,2007-11-23,"['member', 'representative']","['Всеукраїнське об\'єднання ""Батьківщина""']",['Centre to centre-left'],['Unicameralism']
UA-ЄвгенДмитровичЖовтяк.1961,"Євген Jevhen, Дмитрович Жовтяк Dmytrovyč Žovtjak",M,2002-05-14,"['member', 'representative']","['Виборчий блок політичних партій ""Блок Віктора Ющенка ""Наша Україна""']",['Centre-right'],['Unicameralism']
UA-ЄвгенКириловичМарчук.1941,"Євген Jevhen, Кирилович Марчук Kyrylovyč Marčuk",M,nan,[],[],[],[]
